Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diabetic_retinopathy
0.442623265,0.348763428,0.510732648,0.477100967,2
0.39412046,0.216333599,0.366893543,0.401161463,1
0.44525243,0.379173851,0.540171729,0.487184027,1
0.44563393,0.202084246,0.349415333,0.439906481,2
0.453916932,0.412225879,0.570992551,0.502564795,2
0.326982247,0.139276434,0.265754222,0.321910412,1
0.272382989,0.160828513,0.293264304,0.283746542,2
0.534686011,0.459316604,0.609657112,0.579709486,2
0.298004959,0.220556226,0.371976502,0.324653565,1
0.593993,0.352772402,0.514314957,0.601095504,2
0.52588938,0.452781549,0.607346891,0.569404217,2
0.483817485,0.289658583,0.450079824,0.494973073,2
0.591385699,0.365369761,0.526943113,0.601927676,1
0.401066868,0.286902838,0.44358868,0.426094517,2
0.388688017,0.251625747,0.408208285,0.40695861,1
0.552751402,0.429619915,0.586782282,0.585378526,2
0.528977856,0.47108715,0.623155598,0.576233308,2
0.508745161,0.338691817,0.500735349,0.527801171,1
0.275941534,0.165185301,0.298078451,0.287616104,2
0.462766157,0.236766432,0.389312562,0.463484083,2
0.412863225,0.301986612,0.463150339,0.440667976,1
0.498875304,0.407014795,0.566216657,0.53680559,1
0.669029296,0.366374454,0.527913309,0.666656387,2
0.426500193,0.421744818,0.579674106,0.483668332,1
0.392042372,0.178210049,0.319024894,0.388251435,1
0.273929851,0.148812845,0.279279095,0.281278503,1
0.34820719,0.199025721,0.345621897,0.358338687,1
0.428933895,0.358841252,0.520580134,0.468908755,2
0.632770414,0.499440866,0.647401675,0.665559926,1
0.588143674,0.533199771,0.675320502,0.637242594,1
0.433032906,0.434598395,0.591240014,0.492211701,2
0.712520146,0.488133925,0.637859139,0.728234376,1
0.313648944,0.305756125,0.466540768,0.363631293,2
0.407283915,0.196956945,0.343030068,0.40642581,1
0.298373031,0.174156585,0.313700803,0.309772292,2
0.427595341,0.361769694,0.523452621,0.468677215,2
0.310251687,0.198048673,0.34439918,0.327197143,2
0.422055377,0.494191141,0.642969642,0.499109106,2
0.5497301,0.439998013,0.595960106,0.585424173,2
0.282331469,0.279275468,0.438899539,0.33131053,1
0.283905298,0.172756926,0.31184497,0.297559017,2
0.350358981,0.15645082,0.289876543,0.346879124,1
0.543633663,0.263561667,0.421623932,0.537999199,1
0.395453349,0.234117414,0.388035366,0.407999562,2
0.472806905,0.215003248,0.364363963,0.466017813,2
0.263990945,0.165640145,0.302367091,0.279032068,1
0.4844763,0.315148969,0.476845341,0.502071307,1
0.409121161,0.278666016,0.438237353,0.431168571,1
0.444980452,0.260909588,0.417248316,0.455595954,2
0.499073637,0.47200643,0.624072335,0.552867738,1
0.291990651,0.227468385,0.379991179,0.322863915,2
0.561705073,0.525685066,0.6691775,0.614662338,1
0.475271546,0.255574616,0.407075062,0.482848172,2
0.484996636,0.404101315,0.563529189,0.525039904,1
0.192328005,0.329273608,0.487942281,0.280225314,2
0.406594436,0.23540876,0.389544653,0.416893827,1
0.289457551,0.178170626,0.317778056,0.303664254,2
0.463929029,0.203027645,0.350604982,0.455471364,1
0.490870847,0.325396002,0.486301691,0.50970272,2
0.230455906,0.159018232,0.29323506,0.249714252,2
0.354146636,0.354969076,0.516829377,0.409478733,1
0.33410508,0.205026746,0.353079314,0.348718677,1
0.259614563,0.225101553,0.376698852,0.295731987,2
0.186052485,0.325620344,0.485879059,0.275067916,2
0.619443506,0.51648271,0.661599813,0.658526334,1
0.316029564,0.361028457,0.522737245,0.382216779,1
0.534483208,0.222890147,0.374768786,0.520162358,1
0.200168367,0.29657749,0.457447718,0.275794893,2
0.294336013,0.131649923,0.254687873,0.292206403,1
0.135871311,0.111732569,0.224624067,0.156012727,1
0.356611886,0.298267317,0.45923402,0.394919125,1
0.4259073,0.267624999,0.425262545,0.442303021,2
0.348611861,0.1941671,0.32638045,0.356337556,2
0.466986093,0.391339904,0.551150169,0.507389021,2
0.257736295,0.16533404,0.3019554,0.27388466,1
0.287566254,0.13366689,0.25286927,0.286232281,2
0.425909996,0.316161323,0.477888295,0.455008285,1
0.373420531,0.28683606,0.447063584,0.404885555,1
0.526189201,0.341462681,0.503494853,0.542729723,2
0.41708887,0.183202362,0.325511809,0.410642683,1
0.332254922,0.169776271,0.300597656,0.334399867,2
0.459094762,0.251825157,0.408378632,0.464615938,2
0.347875683,0.232585273,0.386241053,0.368346986,1
0.372214065,0.176564498,0.316871022,0.371253788,1
0.346517897,0.37461638,0.53578117,0.409347271,2
0.84863884,0.587359743,0.718467479,0.859739272,1
0.499558101,0.424270654,0.581959634,0.541598136,2
0.478842205,0.314949733,0.47627078,0.497596372,2
0.444983915,0.391987193,0.552260786,0.490315685,1
0.341988058,0.243850173,0.399324427,0.367049446,1
0.556618537,0.365245919,0.526823441,0.573340937,1
0.516616855,0.472974196,0.624905624,0.566875353,1
0.392315292,0.286081674,0.446207707,0.420080754,2
0.385284294,0.182014707,0.323822734,0.383808258,2
0.392207705,0.128991498,0.250775279,0.373677116,1
0.287540579,0.162627758,0.291424122,0.295484519,2
0.090774251,0.066053268,0.147605487,0.09938182,1
0.275315547,0.14277427,0.270754159,0.280325071,1
0.355138161,0.149527465,0.28027924,0.348701915,1
0.345714956,0.213228769,0.36307485,0.360852845,2
0.26632513,0.312242309,0.473842708,0.32973363,2
0.469333854,0.268335796,0.426917766,0.477467346,1
0.378725623,0.172277421,0.311222246,0.375376427,1
0.374095655,0.186535421,0.329803758,0.375824726,1
0.271640065,0.149609713,0.280236437,0.279655586,2
0.480802138,0.423414178,0.581161654,0.526610671,2
0.258216745,0.205155434,0.353211103,0.288039433,2
0.431372395,0.452548929,0.607150904,0.495456734,1
0.422485001,0.208309038,0.357119817,0.422531324,2
0.213037068,0.20145627,0.348653124,0.251468166,1
0.342277236,0.194250963,0.339363525,0.35199493,2
0.391993874,0.321068896,0.482923772,0.429369647,1
0.288058002,0.165163379,0.301725745,0.298376545,1
0.365342966,0.231301513,0.382845224,0.38317424,2
0.483239592,0.422421121,0.580258619,0.528296964,2
0.35644369,0.191212347,0.335775042,0.362686625,1
0.344234066,0.287607851,0.447891759,0.382031521,2
0.234416342,0.159674722,0.294290023,0.253158164,1
0.470510325,0.482723563,0.63325744,0.533269273,1
0.659392782,0.459966405,0.613639753,0.678744958,1
0.673852358,0.406507981,0.565749779,0.67927866,1
0.506879672,0.365467711,0.527006333,0.532959325,2
0.352333894,0.218391516,0.352708848,0.364332997,2
0.370197365,0.308837496,0.470284438,0.408683254,2
0.202600058,0.236996834,0.391395532,0.25634085,1
0.235949212,0.16302142,0.298717271,0.255568242,2
0.586526313,0.336983886,0.499027155,0.591339001,1
0.415333391,0.24900176,0.404550985,0.427727445,2
0.294731304,0.375065351,0.536036643,0.370842517,2
0.407921004,0.168826539,0.306635166,0.398787875,1
0.275794085,0.187635167,0.329891539,0.295771993,2
0.36110861,0.207008168,0.355522129,0.371323534,1
0.53806076,0.324823845,0.486754001,0.54838977,1
0.276669907,0.175926235,0.315344623,0.292752747,2
0.344451059,0.189427656,0.333503385,0.352292387,1
0.415746843,0.334794191,0.496831302,0.45197914,2
0.46179148,0.282907941,0.442698961,0.475720119,2
0.43856198,0.360772042,0.522460768,0.477051578,2
0.389763306,0.22214953,0.373884026,0.399279187,1
0.422626163,0.327685063,0.489659641,0.45551485,1
0.560339822,0.354705496,0.515661084,0.57392177,2
0.551426301,0.453596491,0.60807022,0.589918496,1
0.607766454,0.312257649,0.473858586,0.60332549,1
0.375756704,0.157018885,0.290618204,0.368455903,2
0.202760001,0.094864653,0.197474894,0.203013891,2
0.405502968,0.322419693,0.484255023,0.440441601,2
0.263305193,0.144246674,0.272845131,0.271011127,1
0.528399759,0.317550043,0.479316636,0.538653557,1
0.276122158,0.219754204,0.371014167,0.307064185,1
0.508599343,0.290771782,0.450809096,0.515780906,2
0.371432485,0.219506526,0.37071669,0.383510132,1
0.41407592,0.228847461,0.381749736,0.421149228,2
0.305592393,0.211649499,0.36120731,0.327833147,1
0.152154002,0.132554519,0.256012613,0.177566394,1
0.572729805,0.334123369,0.496157683,0.579238623,1
0.347675088,0.281759261,0.441591889,0.382993287,1
0.394501162,0.219689573,0.3694199,0.40214818,2
0.245447031,0.152897449,0.284970213,0.259594132,2
0.411092843,0.374523074,0.535739055,0.459103016,1
0.699157563,0.426634122,0.584094213,0.704534341,1
0.565382629,0.455978536,0.609006461,0.601753636,2
0.243096117,0.121014483,0.238854889,0.246142862,1
0.428909588,0.233266765,0.386527222,0.43463757,2
0.408093659,0.258673899,0.416161864,0.424716708,1
0.446812674,0.457501718,0.611361152,0.50858476,2
0.478674399,0.30642116,0.466764191,0.494953653,2
0.376182796,0.29675794,0.455406545,0.409349388,2
0.325023216,0.183405168,0.325773843,0.334498192,1
0.452185679,0.266805693,0.425073761,0.462929279,2
0.512015895,0.282918854,0.442133414,0.516468386,2
0.262662982,0.108840531,0.220067748,0.258120752,2
0.398094854,0.351004899,0.512922192,0.442549964,2
0.261142076,0.421476685,0.579431041,0.360268957,2
0.517696629,0.358500156,0.520277524,0.539987083,1
0.454001208,0.334397716,0.491626321,0.481239667,2
0.468293403,0.459039809,0.612782455,0.525639745,2
0.535500955,0.44662055,0.601925509,0.575596071,2
0.475050339,0.292536165,0.453157828,0.488518238,1
0.461409954,0.244239508,0.397092325,0.463878014,2
0.504941096,0.316743468,0.47835927,0.519250397,2
0.266341424,0.237918175,0.392466976,0.305445472,2
0.394863141,0.214487706,0.364658803,0.401235333,1
0.581318385,0.354945313,0.516806121,0.591212364,1
0.334395768,0.157881823,0.291839837,0.334066826,1
0.364037216,0.207588795,0.354793608,0.373960022,2
0.51889605,0.41930854,0.577463032,0.555784677,1
0.448425981,0.38988846,0.55029273,0.492480345,2
0.448703294,0.482259082,0.632861291,0.516360272,1
0.420263129,0.351878469,0.513775036,0.460184707,2
0.327947634,0.299254832,0.459372458,0.372549839,2
0.526260357,0.468641088,0.620931476,0.573436313,2
0.466502719,0.349140053,0.511104016,0.496296361,1
0.424391715,0.256003002,0.41315873,0.437251886,2
0.476381893,0.430876223,0.587536093,0.524956823,2
0.330730453,0.16470258,0.298860662,0.332713204,2
0.29882303,0.331300258,0.491704562,0.360480939,2
0.116287772,0.119097658,0.235948762,0.143904461,1
0.489389988,0.485958498,0.636011669,0.548703365,1
0.400410772,0.310864176,0.472372016,0.43318617,2
0.328865275,0.31820913,0.479993576,0.379204234,1
0.189665454,0.321980782,0.483829442,0.276931323,2
0.54790188,0.482866859,0.633379619,0.593921669,1
0.479654509,0.250894331,0.406659525,0.481234415,2
0.485613305,0.392485904,0.552705665,0.522628286,2
0.493737331,0.433162033,0.589907597,0.539194873,2
0.522273588,0.267722692,0.426240167,0.521180027,1
0.229665415,0.178480836,0.319378576,0.256161868,1
0.425448414,0.302286678,0.463465391,0.450857713,1
0.371402413,0.19471795,0.340212609,0.37606325,1
0.480107664,0.283266639,0.442982547,0.490192249,2
0.594629934,0.314074104,0.475436879,0.592698437,2
0.377219319,0.224380314,0.376545315,0.389677477,2
0.50841969,0.270350419,0.4291319,0.510316844,2
0.402823204,0.444150033,0.599745156,0.471407953,1
0.352988851,0.287264896,0.447523869,0.388822502,1
0.466758575,0.208614794,0.357495907,0.459360871,1
0.649780161,0.371052381,0.532262586,0.651568263,2
0.552152219,0.282204185,0.442073098,0.549694341,1
0.341899379,0.188993011,0.332723512,0.350050242,2
0.483806529,0.242990946,0.398335501,0.482772841,1
0.493119895,0.320388988,0.482228152,0.510456953,1
0.561657132,0.533811911,0.67581915,0.61646912,1
0.285958905,0.381475778,0.542079328,0.366442876,2
0.645449532,0.413386562,0.572064299,0.657253546,1
0.638064019,0.381693771,0.542563392,0.644203426,1
0.362320028,0.183586136,0.325961138,0.365184538,2
0.265339553,0.206945129,0.355208864,0.294205149,2
0.312809608,0.264210351,0.422164597,0.350209062,2
0.446021716,0.44071685,0.596699746,0.503718347,1
0.496441313,0.49398558,0.642810102,0.556135433,1
0.512438771,0.276161981,0.43551014,0.515128327,1
0.525894055,0.386168294,0.546792945,0.553381794,1
0.545725312,0.216033844,0.36057056,0.531586224,2
0.491038685,0.222072229,0.37326301,0.483248293,2
0.538741203,0.541888548,0.682373947,0.600375183,1
0.111769897,0.084517474,0.180321473,0.124848133,1
0.445437909,0.376798684,0.537713326,0.486656998,2
0.342176101,0.286526863,0.446184454,0.379961356,2
0.47925595,0.284040471,0.444055718,0.489751115,1
0.477682549,0.258846218,0.416355168,0.481856977,1
0.447678314,0.431488259,0.588406488,0.502658849,2
0.381447442,0.244089428,0.399599537,0.398903357,1
0.590503919,0.507055399,0.653772529,0.633302982,1
0.389669899,0.307479461,0.468896272,0.423701851,1
0.451440936,0.175189437,0.315065129,0.437297388,1
0.161410598,0.290705228,0.451199007,0.245787875,2
0.200596657,0.107016752,0.216200042,0.205953355,2
0.307212949,0.274865599,0.417398198,0.344465727,2
0.442837393,0.275143699,0.434397038,0.457674773,2
0.30310097,0.227559381,0.380319112,0.330958808,1
0.314219727,0.147862604,0.277946367,0.314106825,2
0.346352899,0.194901816,0.340342753,0.355540616,2
0.279119053,0.216156795,0.366092157,0.308152181,2
0.403890525,0.253873276,0.41075461,0.419940788,1
0.55487841,0.520865238,0.665216255,0.608187497,1
0.555722887,0.504003414,0.651224306,0.604991018,1
0.508613201,0.26239607,0.420325297,0.508451841,1
0.422721809,0.330151665,0.492155663,0.456260623,1
0.411250635,0.211359925,0.360686054,0.413822879,2
0.565187963,0.25578952,0.412812636,0.554206309,2
0.350679367,0.228226326,0.380521369,0.369157164,2
0.225748884,0.376535159,0.537659762,0.320896092,1
0.439486363,0.20362357,0.351340733,0.435161252,2
0.588066091,0.363212645,0.524856069,0.598693474,1
0.42347178,0.354971957,0.516831166,0.4635607,2
0.438121276,0.35978881,0.521532176,0.476440723,2
0.343694266,0.223961277,0.376046245,0.362341331,1
0.607449281,0.60434483,0.731616544,0.668021895,1
0.448955257,0.25035543,0.399351864,0.45413466,2
0.298393068,0.16809027,0.30565176,0.307777233,2
0.531533015,0.447004589,0.602219083,0.57249281,2
0.301809059,0.29914234,0.460086963,0.352532004,2
0.820790972,0.613123846,0.738345728,0.841461312,1
0.613092232,0.389930876,0.550332685,0.625399901,1
0.277912036,0.205340431,0.353449327,0.303693016,2
0.532492577,0.546747386,0.686295645,0.596635659,1
0.370006615,0.195827489,0.341610425,0.375247408,1
0.472883296,0.256085692,0.413251903,0.477157209,1
0.349634816,0.213412072,0.363223871,0.363889024,2
0.449073661,0.315454737,0.477160504,0.473441461,2
0.425783424,0.343236834,0.505262765,0.462232473,1
0.26971431,0.161954116,0.297217178,0.282854702,2
0.449275026,0.227542014,0.380298556,0.449910603,1
0.445285072,0.291051392,0.451575337,0.463852027,1
0.298707503,0.186196098,0.329359834,0.314166024,2
0.347623108,0.307465806,0.468882043,0.390577294,1
0.225135905,0.135356206,0.260044595,0.236773628,2
0.378854957,0.25502986,0.412061258,0.399998028,1
0.364656246,0.189215824,0.332059076,0.368577251,2
0.42785162,0.245242289,0.400923427,0.43723392,2
0.427651772,0.251025297,0.407526392,0.438538011,1
0.338298878,0.155578308,0.288131223,0.336561996,2
0.344441083,0.164117184,0.300178014,0.34433881,2
0.358355161,0.166335632,0.303301379,0.356609068,1
0.628880111,0.533638558,0.675677884,0.669803903,2
0.512654491,0.410570013,0.569484323,0.548675642,2
0.236912588,0.264009787,0.421718503,0.291919403,2
0.264651273,0.201969916,0.34915866,0.292202714,2
0.449355906,0.373657668,0.526218164,0.487759344,2
0.500094597,0.458907518,0.612716347,0.550487115,1
0.361719407,0.206530323,0.354933885,0.371678315,1
0.327898279,0.271878209,0.430820007,0.364427066,1
0.497978661,0.244248209,0.399782052,0.494920736,1
0.391785648,0.431942257,0.588867247,0.459729673,1
0.396931817,0.360946281,0.522326957,0.444278788,2
0.821790152,0.517933966,0.662798933,0.8246262,1
0.426913754,0.356329038,0.516949239,0.466673293,2
0.352464026,0.187766242,0.327063659,0.357806854,2
0.291428061,0.162352221,0.29792948,0.300179077,1
0.278835231,0.136226764,0.261356621,0.28095436,1
0.656885578,0.193352961,0.338488576,0.618093899,1
0.388759266,0.251046789,0.407550811,0.406849121,1
0.43812075,0.35741855,0.519221243,0.475819964,2
0.329006927,0.213374554,0.363293862,0.34721855,2
0.489382172,0.267996507,0.426542867,0.493929478,1
0.455618663,0.381750308,0.54261697,0.496053503,1
0.517038974,0.290772187,0.451277369,0.522621019,1
0.370307347,0.271357993,0.430248308,0.397900832,1
0.237303129,0.197636129,0.337052446,0.267453753,2
0.391548061,0.214167402,0.364171527,0.398510295,2
0.463982398,0.305608563,0.466944194,0.482913756,1
0.503720207,0.2795209,0.439166033,0.508756936,1
0.422505,0.23847199,0.393070943,0.430821086,2
0.283003284,0.20843706,0.357277861,0.308757985,1
0.373537914,0.222487515,0.374036986,0.386058518,2
0.189417127,0.320212609,0.482046999,0.27614482,2
0.363501883,0.210859042,0.360242692,0.374443328,1
0.441852608,0.340684042,0.502723118,0.474345165,1
0.433035694,0.236071305,0.390317469,0.438817431,1
0.479641115,0.457009382,0.611058652,0.533993152,1
0.377225158,0.219088304,0.370214067,0.388117014,1
0.335831494,0.180277458,0.316698634,0.341403613,2
0.248555437,0.163644126,0.299326409,0.265827946,2
0.570299587,0.310439481,0.471634422,0.571592863,2
0.427738182,0.172517917,0.307125595,0.415588269,2
0.181251675,0.070046145,0.154893132,0.175233243,1
0.423912997,0.302110755,0.463280376,0.449575182,2
0.647925095,0.409293773,0.568312851,0.658406294,2
0.34723707,0.255504496,0.412596754,0.374774859,1
0.457863491,0.409144556,0.568171932,0.504881276,2
0.56628265,0.519473033,0.664068929,0.616864359,1
0.418337245,0.245034734,0.40068224,0.429236109,2
0.341543877,0.553558039,0.688953846,0.454701886,2
0.461702559,0.232297415,0.385903315,0.461530243,1
0.372669099,0.347322368,0.509310069,0.421620515,1
0.444844177,0.254944513,0.411964922,0.453725249,1
0.529557646,0.444826197,0.600027843,0.57033598,2
0.474508915,0.409812907,0.568789616,0.518165522,1
0.405959072,0.170375852,0.308360228,0.397556175,2
0.378610549,0.240816701,0.395046054,0.395510433,2
0.295836115,0.313460919,0.475103024,0.352429127,1
0.425934799,0.238647909,0.393314373,0.433684922,1
0.388596615,0.316813585,0.478559505,0.425486439,1
0.409969465,0.233251216,0.387021728,0.419047013,1
0.410085986,0.240947362,0.395977552,0.421327382,1
0.525583191,0.477842161,0.629085459,0.575097596,1
0.508835089,0.177509891,0.318109414,0.486718392,1
0.652421586,0.172993689,0.312169826,0.609583131,1
0.446482422,0.239264327,0.39258825,0.450574961,2
0.481905103,0.285436453,0.445559278,0.492290943,2
0.488848102,0.281914474,0.441734579,0.497171801,2
0.372305274,0.212148787,0.361813985,0.382036784,2
0.445482848,0.257650676,0.413922029,0.454839671,2
0.663071136,0.423804397,0.580956587,0.674092573,2
0.594118173,0.571682036,0.706173571,0.650449256,1
0.399981993,0.243814874,0.399283828,0.413891087,1
0.838601175,0.608065289,0.734473802,0.855202215,1
0.513409372,0.574412342,0.708325675,0.588340061,1
0.471178226,0.263209525,0.419361852,0.477400781,2
0.300967385,0.18359388,0.326017562,0.314986164,1
0.438298379,0.361861527,0.523513918,0.477131117,2
0.505712315,0.388266614,0.548767587,0.537700036,2
0.362960961,0.245956465,0.401742516,0.384517902,1
0.36588991,0.168169763,0.305710693,0.363534971,2
0.511635246,0.276900711,0.436307309,0.514646961,2
0.680015159,0.474764269,0.626444916,0.698769908,1
0.323407221,0.352223965,0.514138284,0.38517725,1
0.282935183,0.173433572,0.312751004,0.297004418,1
0.3113059,0.171088512,0.309645979,0.319312346,1
0.568139108,0.639234317,0.758099694,0.64507047,1
0.438786569,0.284930371,0.444626604,0.45684146,2
0.306946159,0.208841551,0.357773984,0.328014044,1
0.339287213,0.186872965,0.330236703,0.34726358,2
0.295263155,0.257754312,0.414984614,0.334423301,2
0.389742716,0.204985733,0.353024163,0.394276479,2
0.21042405,0.115616324,0.230627637,0.217396552,1
0.483900234,0.144866983,0.273723635,0.456660817,1
0.350662863,0.192092091,0.335481434,0.357947172,2
0.540071596,0.451975815,0.606586865,0.580504917,2
0.458897604,0.207524801,0.356157502,0.452473305,1
0.20450905,0.139102567,0.259915978,0.220195483,2
0.663684351,0.31287445,0.464888076,0.651270649,2
0.462405926,0.258639127,0.416122851,0.469181078,1
0.457436528,0.400562657,0.56025336,0.502338515,1
0.410201743,0.27696493,0.436385798,0.431565108,1
0.430887796,0.296432863,0.457294637,0.453646251,1
0.29692233,0.39961149,0.559336635,0.380329523,2
0.575641302,0.267217132,0.425680932,0.565781965,1
0.364829509,0.180969133,0.322618752,0.366470635,1
0.294126292,0.146489231,0.2750211,0.296991105,2
0.542819512,0.515710882,0.660961451,0.597521097,1
0.371677285,0.183873914,0.326379039,0.373020158,1
0.489575118,0.432761657,0.589601687,0.535792038,1
0.454829096,0.237225873,0.39085325,0.457230408,2
0.495176224,0.241377161,0.396474158,0.491834958,1
0.244346956,0.169086738,0.306982302,0.264467644,1
0.498700956,0.242713233,0.398015555,0.495126556,1
0.295051793,0.171966795,0.310774585,0.306334179,2
0.428686228,0.192056953,0.336841861,0.422908693,2
0.542740676,0.424727724,0.582339269,0.576181946,2
0.518725384,0.570995884,0.705631981,0.591624358,1
0.280630371,0.149410429,0.280115567,0.2869649,1
0.303346492,0.181805359,0.323703696,0.316329157,1
0.495444699,0.321317527,0.483169049,0.512586893,2
0.444186644,0.438592781,0.594810228,0.501749965,1
0.296287267,0.170909656,0.303054354,0.305430222,2
0.199575516,0.338610981,0.499613683,0.28935055,2
0.773606978,0.473341785,0.625221931,0.775918916,1
0.371807908,0.250029605,0.406394137,0.39285118,1
0.235940605,0.209279806,0.357818511,0.271898249,2
0.457369597,0.3579416,0.519733087,0.491269156,1
0.322851003,0.137381815,0.263026454,0.317846049,1
0.435347318,0.400492679,0.560188449,0.484978873,1
0.422002355,0.17761757,0.318249209,0.413161684,2
0.393441357,0.239433526,0.394225456,0.40730055,1
0.359564079,0.162857962,0.298614311,0.356539703,2
0.317350113,0.209121362,0.358116954,0.33646613,1
0.311001837,0.204880578,0.352882022,0.330005995,2
0.388654674,0.305342636,0.466665142,0.422323057,2
0.406362371,0.205249107,0.353351307,0.408307518,2
0.293857697,0.183180397,0.325483423,0.3090955,2
0.424597326,0.401554391,0.561172734,0.476869217,1
0.389136553,0.190190111,0.334474924,0.389377865,1
0.661248563,0.512375635,0.658197903,0.691360396,1
0.817352932,0.98661331,0.991851763,0.905733926,1
0.289896158,0.154428321,0.287089964,0.296259325,1
0.409412272,0.416277765,0.574704349,0.469020546,1
0.384216365,0.569772927,0.704531432,0.491459764,2
0.510109201,0.343223353,0.505249375,0.530040486,1
0.295503989,0.162405742,0.298001993,0.303526156,1
0.299944001,0.188785911,0.332684448,0.31586112,1
0.359743904,0.221774129,0.371564588,0.374761099,2
0.314110347,0.167759139,0.305188922,0.320521686,2
0.252344594,0.256168537,0.413345239,0.300743856,1
0.318327369,0.376461403,0.537589436,0.388531267,1
0.353781956,0.241764586,0.396921487,0.375877661,1
0.400375642,0.286712708,0.446931131,0.426388595,1
0.194592468,0.337496287,0.499270841,0.285741316,2
0.302940268,0.217818679,0.3686858,0.327700468,2
0.505929507,0.346318062,0.508285936,0.527494128,2
0.314516223,0.178974071,0.320022261,0.324496859,1
0.283995701,0.229587444,0.382508573,0.317210616,2
0.385767089,0.365401428,0.526973711,0.436870929,1
0.243258339,0.150035969,0.280949393,0.256836106,2
0.299129214,0.19055079,0.334933967,0.315781726,1
0.271197248,0.167729307,0.305169024,0.285571731,1
0.277639419,0.107028323,0.217250318,0.2697917,2
0.482378819,0.271940498,0.430880532,0.489166786,2
0.542897205,0.314663338,0.476241056,0.549892899,2
0.305998446,0.321952865,0.483827212,0.362794504,1
0.369794161,0.239203559,0.393958892,0.388029217,2
0.344582693,0.210711102,0.357296753,0.358506486,2
0.372655986,0.162206678,0.297732246,0.367260747,2
0.547766595,0.510232182,0.656417517,0.600146198,1
0.853055943,0.572109283,0.706510652,0.860639845,1
0.190330092,0.15242607,0.284317519,0.215454711,1
0.428961119,0.192082426,0.336874284,0.423145269,2
0.509746773,0.482607225,0.633158233,0.563784533,1
0.304421208,0.246269478,0.402101123,0.337971488,1
0.153718527,0.118581528,0.234658065,0.172874489,2
0.308568756,0.213822075,0.363695086,0.330986182,2
0.389921091,0.151105918,0.28248196,0.378395877,2
0.433898425,0.188638129,0.332495704,0.426279535,1
0.386525124,0.225237597,0.375662791,0.397356541,2
0.696794743,0.392665503,0.552895812,0.695470095,1
0.404595367,0.362776293,0.523657149,0.451192994,2
0.546913231,0.548796328,0.687944596,0.608333049,1
0.875036137,0.491469013,0.640684181,0.864453564,1
