,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,Mean Feature,Variance Feature,Standard Deviation Feature,RMS Feature,diagnostic
936,0.1479535918687372,0.1459617973053379,0.9272180898512512,0.5595075823344012,0.9367331906271186,0.3131019207544997,0.0269442442817317,0.0015477520991634,0.0383798065847123,0.2257211492656898,1
176,0.0992716207257183,0.0986058645992542,0.950762884995482,0.5405151910214672,0.9326945345249924,0.2921895437613708,0.0783343655387382,0.0145498561753351,0.1197347344020666,0.3001749351961553,5
1876,0.1984017738172357,0.1924034185256159,0.9043834725526994,0.4795808817682331,0.8862648004284102,0.2301633035372098,0.0160304168085152,0.0004931488469217,0.0212379796577918,0.2278553606940564,1
1337,0.1743898958786896,0.1702323131764392,0.9152944828045984,0.3291204339501019,0.9732828637821272,0.1083839312714524,0.0104053494671061,0.0001193405550815,0.0099677197817159,0.2006302764595432,3
1675,0.1499620832671516,0.1468260796046819,0.926874124737447,0.3655188183097448,0.9701059609829434,0.1336453112065981,0.2132128066700946,0.0473335304032815,0.2167710641016857,0.5984352428933607,1
291,0.1058876932359019,0.1053747126323056,0.9473630938944588,0.3551457985732208,0.9898243959484692,0.1261573402225691,0.0657219576507137,0.0038713257565719,0.061276701805579,0.3580225907617508,3
1522,0.1716875406639204,0.1704561453544646,0.9148950668537132,0.3695743055948641,0.9617860764483482,0.1366534438046588,0.0364884782593878,0.0013468944346225,0.0357366478732972,0.3858168561636454,1
768,0.1149372976664288,0.1141596017099757,0.9429979687406572,0.4690721430140954,0.9547463597579368,0.2200892693821874,0.0134983887347875,0.0001912564395827,0.0128660677914191,0.2590659300552896,3
470,0.1075009814547832,0.1054374679224685,0.9474874329618754,0.3491906649198089,0.9843853930248492,0.1219707509939365,0.3094395968698741,0.0903228727083182,0.2998294934562017,0.6349720208993457,3
1225,0.134878246516312,0.1220488040756478,0.94012614871634,0.5272479605657546,0.9256358255793332,0.2780304524798946,0.0167917134658219,0.0008257669425391,0.0277685522045496,0.2246305756943611,3
1668,0.1050768814259062,0.1044494486161679,0.9478370129649332,0.3128600637233324,0.992127708459018,0.0979049831946758,0.3193711118719121,0.0766501223953465,0.2761255708711306,0.6744538078419218,3
395,0.1304787522926681,0.1304517421986926,0.9347768299100512,0.3594364021609313,0.9774746769955888,0.1292229184278963,0.3547853100142669,0.0721437366974575,0.2678555258139847,0.7900529645183646,1
1821,0.0730438828118649,0.0730416418277315,0.9634794031845476,0.4158959447491637,0.984355326078105,0.172982807456058,0.1536529988843135,0.0249251966299614,0.1570258812224521,0.4927107421487773,1
665,0.5474561915788606,0.4308473077928432,0.7961076006281397,0.2969136297956308,0.8952175591759396,0.0883941719553852,0.0132214610382196,0.0001471945426974,0.0111723505111002,0.2258618257688181,1
189,0.0978796761293295,0.0978390652920019,0.951084528437732,0.4404796929337577,0.9662679723704786,0.194066506072695,0.1721333351997182,0.0304824001678856,0.1737574602046856,0.4579944574637775,3
654,0.32358461016562,0.3105702574201658,0.8460160733244122,0.3216441215430045,0.924345339867152,0.1036278579633012,0.0086334283001503,7.274707758021708e-05,0.0075832781951712,0.1530304826272089,3
129,0.146445315745516,0.146042993056027,0.927018703427476,0.3646512723568492,0.9754220787451666,0.1329999895347779,0.1298907550715722,0.0176534403463893,0.1319902231903477,0.5123343756313082,1
1787,0.1248195295559662,0.1180659254817263,0.9416358378495944,0.3355653237351244,0.9847597714280028,0.1126265655463863,0.3199390337098209,0.1000209774839466,0.3155686469588329,0.7089976206369255,1
372,0.131727406996585,0.1289376279885919,0.935808854718562,0.4225717278574134,0.9662827230451152,0.1785892027114234,0.1019519743765346,0.013081248372904,0.1134791301312113,0.4555232831189237,1
1904,0.2121648132616509,0.1975758374179309,0.9026567647970276,0.4315205609414791,0.9724914667446382,0.1863731104593725,0.0152627585161344,0.0004116932763631,0.0193214907682751,0.2181138468256359,1
334,0.158191674952422,0.1367905786006694,0.9335469627753964,0.4552745769623205,0.9379398685481712,0.2073282075619955,0.0268530177313697,0.0013045522131275,0.0351548086347542,0.2965076454208814,2
1140,0.1336489569357073,0.1327896548788362,0.9336907540113144,0.5090634690334115,0.920044224450858,0.2591865917911173,0.0166300350086408,0.0006729429037643,0.0249726259493941,0.2549673211829905,3
1686,0.2975651672106627,0.2896479644308645,0.8559667875236333,0.3242419842369679,0.9353862425358228,0.1052259380526522,0.0229370316605988,0.0004840106048104,0.0210312733500921,0.3332495979247066,3
1910,0.1483113898810556,0.1465555344575379,0.9268966101268424,0.5628370645322556,0.8674037008599933,0.3168619867422376,0.1819644941999745,0.0736099962683135,0.2705740215584611,0.4935722386450865,3
180,0.3138205394347311,0.2805981379052852,0.8628706614322761,0.4240123018494324,0.8425388210000102,0.1800696916339139,0.0169765595588542,0.000323708276808,0.0170240591914297,0.2893658845138601,3
1673,0.1654184925195971,0.1647787589050358,0.917674593908938,0.3778554145990624,0.9585893675235916,0.1428263002134265,0.0639071759318365,0.0041655394882867,0.0635997704516758,0.3810243423177348,3
1168,0.1093963066084776,0.1093690894736809,0.9453181769766392,0.3836256750566458,0.9787676922235716,0.1471949756381986,0.0407513773158621,0.0013642568392238,0.0359725847967098,0.4281274401149315,4
369,0.0782125710526278,0.0782094173772836,0.9608956066788924,0.4999956796267017,0.9800972747001112,0.2500176226453406,0.6036061525162606,0.479187201345435,0.6919216022888981,0.6731035886781944,5
1350,0.2795925982777839,0.2432389314413536,0.8818613159739506,0.3550603650017956,0.9591743258843042,0.1261752558088833,0.056597339264183,0.0032792669882358,0.0563172973638557,0.4334821481561106,1
1612,0.1758296812114007,0.1595175964265203,0.9218341259362144,0.4837845343255575,0.8927775801584998,0.2341082579236128,0.0972922799567351,0.013787119034496,0.1165273800185379,0.4468812949283063,2
235,0.1681546924784667,0.1632448394614776,0.9188681333850371,0.3515705233329759,0.9696948323701202,0.1236466257752187,0.0261082482893391,0.0006432287486063,0.0243933024184357,0.3707690795266014,3
1916,0.0932761518179205,0.0932731459821711,0.9533637275924892,0.3529291913036403,0.991517851113226,0.1245701096727465,0.114136775099506,0.0098749428967621,0.0984640583693837,0.5794996442336009,6
1636,0.1514049283299757,0.1425378391373156,0.9295756954045912,0.3229846969079897,0.991409841111232,0.1043345481419504,0.0124241615182569,0.0001566383963224,0.0115545984663941,0.2328166382096135,1
2167,0.3372201169424411,0.2957674279076022,0.856174770396549,0.2919782890674674,0.966150800008678,0.0853277351090383,0.1051322204501226,0.0082802403707845,0.0900791183167478,0.5878983351714238,3
1970,0.0963331657466725,0.0962107127799342,0.9519068889067068,0.5114767619812226,0.9409407923136446,0.2616682738960825,0.1454457903896263,0.0389108917818785,0.1964464508398771,0.4293724776381752,3
759,0.1214525961766956,0.1212060149134739,0.9394208597433272,0.3567231379595851,0.9798382092855126,0.1272982635100173,0.1239006371229556,0.0135697848121997,0.1155973285780083,0.5108685434271915,3
1597,0.1701156237479237,0.1672232203612345,0.9166768075979336,0.3435416158267557,0.97277158715824,0.1180839399375704,0.2416827588336169,0.0471633320869413,0.2163791713531574,0.6401519633092413,3
25,0.1098863593125284,0.1050956471251995,0.947888211788982,0.4619764865079835,0.9682510499687222,0.2134607765930893,0.0204859657364776,0.0009102099356521,0.0292026812791642,0.2877202019256923,1
1342,0.1401107292924364,0.1371282782094762,0.931732468956132,0.2910797963588862,0.9898889072216588,0.0847521133004126,0.0198105640082933,0.0002941932764774,0.0161847720207619,0.3276993247323076,6
1402,0.1353701051009834,0.1332768173788816,0.9335695227318604,0.4596412853871076,0.9451571323508912,0.2113309481103834,0.1863660065548113,0.0649987614573486,0.2541944736075314,0.4688782317118547,1
