,Contrast Feature,Dissimilarity Feature,Homogeneity Feature,Energy Feature,Correlation Feature,ASM Feature,diabetic_retinopathy
964,0.058118474,0.127903116,0.240310082,0.064027151,0.894680916,0.018350868,2
28396,0.162463338,0.300537252,0.196227901,0.154182767,0.73469874,0.054537821,1
3815,0.077185963,0.172621511,0.266994475,0.152958775,0.882634671,0.053962318,2
7469,0.237667397,0.33382219,0.297156714,0.300961629,0.71033519,0.144682805,2
21242,0.219575561,0.35696365,0.169275991,0.119705215,0.463197866,0.039203589,1
827,0.192623698,0.270222897,0.437426103,0.392194189,0.602833152,0.210086049,1
28670,0.06926011,0.180274404,0.220377991,0.019575649,0.792565436,0.004896043,1
28294,0.116462451,0.244449906,0.160143246,0.039043269,0.749246321,0.010366913,1
23761,0.059353085,0.172362935,0.257552124,0.048190504,0.773786887,0.013134361,1
13595,0.325278604,0.357094847,0.420561914,0.410108591,0.542679973,0.22530703,1
22083,0.025088815,0.107685091,0.31985933,0.037336186,0.905069405,0.009871308,1
26264,0.220505463,0.358182614,0.145618877,0.079753563,0.494069605,0.023683426,1
22635,0.050901581,0.137894376,0.325949139,0.140157977,0.90681026,0.048072295,1
10131,0.056135987,0.145083442,0.158215174,0.043319011,0.903981756,0.011637992,1
30136,0.075853053,0.153141165,0.33711902,0.168606544,0.919388195,0.061550096,2
24642,0.116436411,0.231415352,0.184360916,0.061846349,0.743011443,0.018079768,2
24326,0.05851315,0.173227888,0.190590672,0.03127158,0.8214449,0.008125417,2
310,0.209780457,0.376169723,0.111583201,0.061711157,0.410027646,0.017475335,1
14559,0.09897609,0.227897881,0.150421327,0.024361753,0.667119113,0.006189251,1
14998,0.372883236,0.367851387,0.472866969,0.473036671,0.619032085,0.303274596,2
1027,0.063159039,0.160620951,0.308083764,0.189606224,0.876158075,0.0723917,2
14384,0.173222643,0.26516245,0.404510964,0.378789148,0.639535218,0.199050892,2
9295,0.050244286,0.140414527,0.30882929,0.180545841,0.8708947,0.075200122,2
7623,0.179385055,0.288454195,0.18601651,0.077645146,0.643783481,0.026098348,2
9749,0.09194306,0.194285598,0.269107856,0.047057876,0.71363749,0.012902282,2
5420,0.169833164,0.26124612,0.315474482,0.246693669,0.681752621,0.12091331,2
22211,0.149851177,0.278544923,0.151337023,0.063070901,0.603571322,0.017954364,2
1076,0.067851537,0.163050799,0.245698409,0.056112707,0.838986176,0.015632048,1
432,0.232908596,0.256075234,0.368628787,0.286358866,0.789660131,0.130233943,1
10335,0.138321348,0.266373262,0.21530162,0.222868081,0.763613642,0.090543916,1
20427,0.020770923,0.11444286,0.28567884,0.042316534,0.872821569,0.011341492,1
18151,0.101759622,0.177259028,0.336287449,0.184761837,0.873406629,0.069680111,2
2694,0.068206972,0.174197294,0.21963193,0.021281188,0.762788078,0.005363577,1
2474,0.059870517,0.148417419,0.290337111,0.218168826,0.913522501,0.088182582,2
18637,0.128568189,0.218259548,0.271231012,0.184887381,0.838948894,0.069749695,2
20260,0.116089347,0.259412539,0.162721295,0.042074046,0.639922997,0.011276234,2
6447,0.048435885,0.164075301,0.201757157,0.025571561,0.849322187,0.007003498,2
4024,0.054494979,0.161862011,0.191367788,0.013801616,0.858422683,0.003387343,1
4822,0.028794771,0.098422477,0.455398742,0.047488686,0.892906144,0.012925507,1
27473,0.055401645,0.136070872,0.287091636,0.143773939,0.936819381,0.049711703,2
27106,0.063841884,0.146582946,0.295941971,0.169413489,0.941502415,0.061900858,2
4847,0.129749121,0.251301256,0.207838276,0.073035272,0.680126675,0.021307066,1
7778,0.06837371,0.147219172,0.246578524,0.0389423,0.87168345,0.010361702,2
4172,0.072772179,0.145251164,0.330315048,0.05897335,0.881963556,0.016562131,1
9709,0.112920888,0.242347896,0.199958991,0.068815668,0.672939358,0.020059133,2
4127,0.051458768,0.130863284,0.268028262,0.066940572,0.928308451,0.019206375,1
23112,0.089112922,0.223722148,0.21535062,0.049066664,0.690319116,0.013406859,2
4358,0.19830022,0.342531741,0.15110527,0.095525846,0.584561683,0.029642603,2
2510,0.047673821,0.133133384,0.290046823,0.142681291,0.93515503,0.049213601,2
16347,0.115375033,0.213549881,0.223516672,0.131326161,0.839117104,0.04502738,2
20375,0.094122036,0.177499534,0.37848411,0.326846811,0.837483154,0.158754494,1
29841,0.119145583,0.219761233,0.257464889,0.222928191,0.842432902,0.090577587,1
18770,0.039508561,0.128981386,0.213854708,0.015618504,0.901836184,0.003862327,2
8590,0.07020244,0.146175883,0.358185853,0.16997778,0.937012121,0.062174912,2
27029,0.066589375,0.18002181,0.215029128,0.017427146,0.809255138,0.004329459,1
21980,0.08479532,0.171487931,0.336578673,0.163106273,0.907298351,0.05880514,1
19393,0.077675635,0.193602911,0.208833211,0.013346746,0.75438019,0.00327587,1
2288,0.066608697,0.15892896,0.269048534,0.147126591,0.842245821,0.051250299,2
3961,0.059832782,0.162204017,0.224261995,0.03925393,0.830062867,0.010759784,2
12515,0.136697637,0.256621387,0.247924215,0.174387805,0.646143412,0.079632905,2
13773,0.064723467,0.132614418,0.221174636,0.071784405,0.907374822,0.020886639,2
2206,0.122412634,0.200203071,0.417355957,0.362710973,0.746206095,0.220697981,2
292,0.043714199,0.107965623,0.520560527,0.408545197,0.825430408,0.223937644,1
19062,0.110179869,0.215949752,0.243804314,0.170740137,0.821447992,0.063049252,2
22221,0.098667999,0.217303176,0.240284925,0.109325359,0.686076825,0.035205288,2
26889,0.114666776,0.246670408,0.223742243,0.132229778,0.645311955,0.044559057,1
20191,0.331039634,0.411433306,0.498656066,0.56247266,0.364535315,0.385830133,2
26597,0.228502246,0.328029452,0.208346872,0.181079093,0.661034442,0.067794003,1
24769,0.199658621,0.345821014,0.133048456,0.08669147,0.559887793,0.026200954,1
442,0.100433163,0.18909337,0.41283024,0.340526641,0.699295407,0.168962716,1
19457,0.088279355,0.168160146,0.350241394,0.20844893,0.838540746,0.082383738,1
9809,0.118627232,0.237786228,0.212569258,0.03605525,0.566785156,0.009496764,1
16769,0.118914431,0.239748264,0.180650849,0.113252903,0.766337817,0.037421693,2
5160,0.191699217,0.246119236,0.40469461,0.368845064,0.752846156,0.192910823,2
19735,0.147386784,0.290392502,0.142682504,0.062989072,0.58829712,0.01789131,1
19096,0.091344535,0.211060868,0.2224262,0.04428681,0.704699211,0.011939543,1
8856,0.147245842,0.278230167,0.138511798,0.035441049,0.638584677,0.009316655,1
20843,0.041773079,0.112900982,0.303338324,0.181440568,0.9708766,0.068215619,2
6250,0.027798283,0.110030699,0.259172319,0.050979929,0.912386247,0.013999669,1
19872,0.081602695,0.190300881,0.243982951,0.067953309,0.736125951,0.019592526,2
24422,0.050201116,0.158048283,0.228827036,0.063923062,0.839623045,0.018193749,1
13865,0.059624246,0.167774702,0.280378619,0.09805825,0.79778503,0.030479596,1
8035,0.079825664,0.171954161,0.394921247,0.342346103,0.81767152,0.170338197,1
28143,0.060982141,0.158248498,0.254354864,0.050319311,0.848309285,0.013797806,1
7709,0.191186243,0.286112067,0.233871766,0.199511989,0.716567135,0.077679598,2
3215,0.15144763,0.25907224,0.298898823,0.175947131,0.624734133,0.089974722,2
15167,0.078273427,0.189901162,0.228134391,0.025985311,0.770244336,0.006639312,2
27475,0.043988022,0.125603718,0.346628575,0.034029272,0.865692266,0.008904544,1
2779,0.119029384,0.225976914,0.208960493,0.033237842,0.691693759,0.00868737,1
16060,0.092630986,0.175940344,0.304777981,0.187671906,0.880580656,0.071216677,2
21493,0.344627458,0.409911514,0.475260624,0.539322446,0.534190667,0.349537072,2
2232,0.067484195,0.14542631,0.48185466,0.32694266,0.762233824,0.158833216,1
19245,0.161163435,0.250370504,0.204191153,0.143096433,0.793000883,0.049409682,1
17199,0.060006327,0.171708137,0.21444088,0.043609793,0.820917803,0.011732068,1
2859,0.099622698,0.222043691,0.183670779,0.018700625,0.772121455,0.004664031,2
21610,0.112883497,0.167453837,0.556589259,0.51675864,0.709369453,0.423407392,2
28845,0.083712635,0.192031014,0.222457444,0.074706701,0.763509151,0.021886702,1
5190,0.039393786,0.141146799,0.245973756,0.010187858,0.871875871,0.002467842,1
15948,0.055189614,0.132336531,0.29085429,0.037462057,0.88692544,0.009896793,1
6816,0.207456616,0.257567961,0.266827022,0.188221786,0.808057895,0.07148528,1
13802,0.281229202,0.301807384,0.581778393,0.62973326,0.642470223,0.452019183,2
28088,0.042264429,0.127807243,0.303447022,0.00790827,0.88449738,0.001909095,2
1416,0.11437623,0.236451305,0.203461392,0.032535135,0.689357281,0.00849067,2
13780,0.060677096,0.155648041,0.266701823,0.160676325,0.895305513,0.057631606,1
22620,0.040875423,0.116609079,0.382143645,0.044147699,0.916266651,0.011898007,1
28431,0.134431385,0.197582227,0.41444319,0.372739863,0.841027804,0.19411789,1
21742,0.058193305,0.164602373,0.255779551,0.029256951,0.786679579,0.007555277,2
8320,0.087678536,0.199936135,0.203158945,0.029806674,0.728158681,0.007699915,1
15258,0.338931071,0.488701995,0.138248686,0.224544228,0.452974182,0.092075568,2
19115,0.030695164,0.121944786,0.309872921,0.04679178,0.83768915,0.012710028,2
17798,0.089322856,0.240225262,0.117065481,0.051042533,0.735850077,0.014984938,2
10780,0.061898143,0.156834004,0.300169692,0.054203891,0.764037088,0.015031517,2
1218,0.06669518,0.152359111,0.367914343,0.192145005,0.881691262,0.073564537,2
29628,0.125054747,0.224555299,0.2316233,0.225153974,0.848532439,0.091862207,1
2214,0.312915266,0.420555019,0.166706266,0.120551287,0.434458087,0.039567642,2
14145,0.1071073,0.165723611,0.410190433,0.172433283,0.891942624,0.063400453,1
13228,0.13426381,0.24763577,0.190193123,0.052952055,0.664781674,0.014631432,1
12883,0.12143002,0.255627862,0.264076372,0.261151111,0.808401533,0.114277698,2
477,0.034955496,0.108444516,0.388864645,0.14049356,0.962141684,0.048221112,1
15704,0.358415365,0.461413273,0.193987178,0.191990189,0.420825995,0.07348924,1
6235,0.046573203,0.13439911,0.292719377,0.022247947,0.840372045,0.005655356,2
12701,0.094901672,0.177442215,0.291774701,0.173621153,0.890660058,0.06414504,2
14146,0.025154429,0.068396183,0.493027268,0.138449244,0.98895185,0.047303244,1
29246,0.110674083,0.207509438,0.228953642,0.122484326,0.84754176,0.041199498,2
5039,0.27015862,0.333378727,0.451182688,0.440791313,0.520503528,0.252497974,1
24644,0.157626567,0.273178897,0.216464056,0.050465658,0.606496623,0.013891208,2
3065,0.061808123,0.158502264,0.30834471,0.012905708,0.830531352,0.003246921,2
14570,0.115252283,0.223738961,0.279146568,0.259997566,0.835692546,0.113002701,1
14639,0.20347292,0.323859028,0.306823462,0.315927742,0.738731882,0.162633366,2
23138,0.021253629,0.106042683,0.286556102,0.032189103,0.896076541,0.008372901,1
17172,0.103660202,0.185487703,0.267514886,0.195750279,0.882437293,0.075506945,2
24893,0.152938,0.292290196,0.155271266,0.07520471,0.651988251,0.022063508,1
26426,0.172403045,0.317087928,0.140104044,0.061247853,0.531866612,0.017316717,1
19917,0.078145076,0.194101444,0.263921037,0.058757768,0.684407627,0.016501467,1
14114,0.139619929,0.27754579,0.114730713,0.09761815,0.755105971,0.030316515,2
14251,0.109940761,0.208200692,0.275478381,0.223958497,0.854999739,0.091254384,2
5736,0.191965497,0.265061378,0.375547241,0.332874604,0.671724109,0.163225676,1
1105,0.04316655,0.137998809,0.295114212,0.024298237,0.82264288,0.006313386,2
20061,0.056762848,0.155638372,0.287597855,0.053954541,0.848308148,0.015034476,2
8954,0.079199791,0.19926088,0.213300491,0.064629289,0.695796784,0.018434228,1
10493,0.04546212,0.130341798,0.299175733,0.167983357,0.889498873,0.061218355,2
5652,0.045280835,0.139348833,0.326285513,0.050040174,0.815427914,0.013712933,1
14958,0.259342855,0.383404597,0.184017964,0.129144966,0.511263291,0.043230374,1
23362,0.084508944,0.178766987,0.256469755,0.163262725,0.89146952,0.058884687,1
19792,0.169830573,0.262536723,0.404185339,0.375201151,0.642616793,0.196147011,2
24612,0.06168688,0.140239446,0.309477301,0.104949899,0.90895894,0.033175898,2
7411,0.151846237,0.289515993,0.1268784,0.069992427,0.648353239,0.020253728,1
21040,0.024713183,0.120489098,0.287754641,0.017805648,0.8697331,0.004442147,2
3179,0.132288718,0.293939971,0.119508633,0.056132946,0.609311748,0.016141475,2
16938,0.046178244,0.136125226,0.261840201,0.032262039,0.871248341,0.008397038,1
17558,0.208255235,0.271229908,0.299337269,0.233475755,0.738285043,0.096750198,1
24421,0.154085909,0.244007471,0.222413355,0.113259567,0.736268826,0.038993573,2
6971,0.094242184,0.202771401,0.19371348,0.017203983,0.756399612,0.004276429,1
25394,0.08574869,0.163777987,0.327049068,0.176299515,0.924174035,0.065340613,1
9832,0.049045258,0.11940413,0.391206097,0.139267291,0.948979881,0.04767135,1
4284,0.104018817,0.238953659,0.18819076,0.077879933,0.703299501,0.023086783,2
2120,0.03550102,0.134941547,0.294189458,0.046168737,0.821542492,0.01251423,2
14482,0.081287248,0.158157005,0.284303527,0.161516409,0.920977239,0.06100743,2
2732,0.120094835,0.208258695,0.268786489,0.174249624,0.798276119,0.064317521,2
17371,0.035996989,0.135511475,0.252440975,0.042486203,0.839927692,0.011394204,1
9160,0.332283252,0.460401333,0.105799352,0.10249856,0.414416592,0.032219937,1
23846,0.25233699,0.349460203,0.233213669,0.19467715,0.528663129,0.074911547,1
2636,0.112511785,0.241153794,0.15484888,0.015544761,0.699973175,0.00384053,1
5436,0.266876845,0.414909838,0.25373904,0.291319437,0.479744596,0.133604911,2
7523,0.129464606,0.245393184,0.195752624,0.07168236,0.663054681,0.020838371,1
10424,0.072816937,0.152521712,0.28155951,0.164664905,0.928788825,0.059577208,2
3832,0.080236315,0.198334824,0.217054753,0.068731723,0.768980044,0.019954009,2
29946,0.070036582,0.144433344,0.286647607,0.199013075,0.932583125,0.077215995,2
23305,0.061610368,0.15958414,0.228656282,0.0354795,0.858704867,0.009319374,1
29548,0.023202773,0.108926447,0.33455499,0.014440851,0.863415143,0.003555316,1
10768,0.273690045,0.341837688,0.379033581,0.373871622,0.514165581,0.195053627,1
14494,0.108647909,0.232964379,0.196494478,0.05048646,0.675961585,0.014243897,2
12416,0.112687857,0.195086321,0.283191075,0.162700007,0.889057431,0.058610495,1
6309,0.074908817,0.173078396,0.275289808,0.159400173,0.88087197,0.057040044,2
11584,0.223060402,0.376390336,0.154467751,0.105288469,0.485072765,0.033332706,2
4064,0.101860303,0.198972824,0.256530212,0.175320454,0.860652062,0.064849936,1
23886,0.096532188,0.190136453,0.301702079,0.168399027,0.868091438,0.061481121,2
26146,0.098865967,0.202269256,0.290770938,0.180404221,0.75386796,0.092044007,2
30151,0.06262895,0.167489486,0.245143088,0.038747988,0.813886964,0.01030173,2
14493,0.155506605,0.246447796,0.45566075,0.461323707,0.658097537,0.271476028,1
4961,0.034789158,0.109601713,0.319103798,0.022256612,0.887445397,0.005616446,1
12228,0.156902134,0.257333535,0.202293423,0.090965377,0.724648593,0.02852317,2
11982,0.167853914,0.303398002,0.146915217,0.122424773,0.722839061,0.040337625,2
23659,0.23214353,0.342859652,0.359504773,0.392523151,0.608851853,0.210367738,2
19870,0.119213606,0.243611928,0.151301367,0.044236662,0.783747889,0.011918928,1
20481,0.179121026,0.278850121,0.37321952,0.358724899,0.630761986,0.185110631,2
29848,0.168278693,0.275806048,0.199402058,0.184837982,0.775271664,0.069715401,1
12485,0.093955899,0.214318967,0.238045468,0.055585822,0.689200262,0.015468233,1
13287,0.04652491,0.098046558,0.422132356,0.07066584,0.93000595,0.021442659,2
7817,0.079449548,0.1673087,0.24641165,0.162253435,0.912820954,0.058393585,1
12631,0.035419678,0.107457906,0.331841976,0.009948709,0.835104555,0.002416844,1
29420,0.163610576,0.302363279,0.184436879,0.080326354,0.526410529,0.023885517,1
11883,0.05033926,0.14896433,0.311683217,0.051254417,0.824545079,0.014092666,1
1674,0.052388139,0.164095975,0.182512838,0.00955765,0.845972503,0.002373165,2
25009,0.277184721,0.373457841,0.23478004,0.173747927,0.418988015,0.064088218,1
14690,0.058285602,0.165679715,0.23291086,0.047843901,0.803198246,0.013030377,1
21734,0.146062042,0.277545479,0.233959508,0.134572613,0.580398677,0.046541822,2
15765,0.052830868,0.130468572,0.267388303,0.158184537,0.948388532,0.056504802,2
8484,0.156625227,0.286853773,0.165913933,0.056318091,0.6797595,0.015703844,1
12189,0.103002127,0.211239899,0.466480292,0.355094866,0.613294972,0.18015551,1
1047,0.069445977,0.206718741,0.163984312,0.017538285,0.803570215,0.004356651,1
9968,0.135576949,0.264844944,0.272969721,0.244675667,0.681248869,0.105500241,2
23796,0.176681378,0.272093965,0.273031344,0.217792124,0.750239791,0.087642195,2
13915,0.138267185,0.291084967,0.149640565,0.063600985,0.620749735,0.018094037,1
24990,0.061565283,0.137546206,0.318712357,0.142244217,0.960569903,0.049013616,1
8188,0.159286879,0.245645892,0.26715197,0.118771071,0.72473415,0.053123971,2
9487,0.125195343,0.246013179,0.290083572,0.22739196,0.730124812,0.104338472,2
13841,0.06892842,0.154128203,0.297259131,0.104845026,0.867655055,0.035443534,2
9814,0.204696614,0.342833696,0.309233898,0.332986087,0.612313898,0.163515101,2
7277,0.103814214,0.214662874,0.242470529,0.096646272,0.696498734,0.029945664,1
17276,0.115156047,0.23565811,0.254771975,0.162985905,0.673720466,0.05876373,1
14133,0.107003577,0.231022234,0.175282004,0.059176001,0.654998411,0.016631503,1
30029,0.35909248,0.40828572,0.378390569,0.408759168,0.419898352,0.224151176,1
15290,0.02591126,0.085212497,0.375908284,0.151861025,0.969632431,0.053538546,2
27893,0.063471056,0.138754923,0.320360982,0.187808883,0.93631424,0.071259175,1
29202,0.055289578,0.161397908,0.176370157,0.009257517,0.88033351,0.002232703,1
19295,0.087904019,0.193499127,0.261698982,0.038581698,0.771284027,0.010231648,1
28891,0.148876035,0.22137231,0.425945401,0.376990192,0.802855486,0.197553103,1
8364,0.093499825,0.216716631,0.167809346,0.054121569,0.787636722,0.015326404,2
10376,0.100975512,0.208748395,0.236144089,0.149035116,0.860474394,0.052129708,1
895,0.075269919,0.182622623,0.163867371,0.036161183,0.815234571,0.009517332,1
23401,0.113499979,0.225575785,0.199510533,0.046845965,0.689674369,0.012725635,1
10713,0.157008703,0.268206088,0.444306542,0.466928503,0.62217737,0.27677748,1
23370,0.136601316,0.267324757,0.231408354,0.088670912,0.526289037,0.028663648,2
26513,0.075385319,0.197224462,0.202151236,0.057322901,0.754419792,0.017083757,2
7471,0.043130209,0.140818364,0.275364125,0.006207206,0.873887999,0.001481171,1
10043,0.077589547,0.142821988,0.504899751,0.423112333,0.803792538,0.236637872,1
5467,0.086772764,0.205870637,0.205013161,0.021143887,0.713255822,0.005319588,1
14752,0.081260114,0.203949795,0.168886741,0.039167752,0.747419976,0.010404779,1
30022,0.089362274,0.199693075,0.264141582,0.033983169,0.719882188,0.008897565,1
24876,0.159747583,0.279625349,0.28845648,0.25096584,0.618043453,0.109722541,2
12780,0.169379624,0.261442664,0.397959532,0.363629736,0.649170947,0.187115892,2
9143,0.189555479,0.28684407,0.237097671,0.157722302,0.718033826,0.057743334,2
16033,0.038685996,0.112107757,0.352135283,0.04726641,0.876308126,0.012848317,1
4700,0.238062707,0.309644703,0.285111017,0.217911632,0.612093721,0.087716543,1
23908,0.082533889,0.205982534,0.238508532,0.058827414,0.693630597,0.016523014,1
26880,0.160356009,0.253313066,0.440382872,0.450242293,0.714207127,0.261144881,1
1156,0.10290891,0.227403309,0.16876228,0.070857208,0.766887448,0.02067195,2
7592,0.053132575,0.138937023,0.235839824,0.1273586,0.950336904,0.04332346,2
3789,0.06671396,0.151215303,0.292209793,0.1437217,0.936592181,0.049687663,1
21048,0.072978652,0.169676089,0.297819669,0.177246729,0.907634691,0.065819584,1
24817,0.232971034,0.32099648,0.412657158,0.417815314,0.511900654,0.232008282,1
17077,0.18736896,0.309788116,0.193334807,0.074822481,0.579735327,0.021932206,1
4564,0.114571798,0.216047216,0.184592487,0.078391566,0.78481223,0.023182978,1
12866,0.049748181,0.148473626,0.257328785,0.017919631,0.879267496,0.004691892,2
1840,0.061387239,0.138861395,0.338875238,0.180877015,0.935410064,0.067826381,2
9972,0.034032999,0.102498443,0.333025789,0.147933933,0.989955132,0.051615907,1
1036,0.12878518,0.249825501,0.150611128,0.069594728,0.793059982,0.020111995,1
2446,0.175223176,0.278957651,0.297790099,0.272648801,0.792393324,0.133956172,2
18636,0.201221981,0.248577046,0.581379888,0.605115119,0.605354671,0.422575352,1
27044,0.294486123,0.375419065,0.423567937,0.462156205,0.552732366,0.283249722,2
9973,0.110487833,0.242556576,0.162751454,0.058879902,0.761297612,0.016532064,1
14067,0.030678501,0.121732324,0.212794136,0.008947819,0.911165771,0.002162615,1
27435,0.088972187,0.170866446,0.332035609,0.174307729,0.847562958,0.06436703,2
25144,0.170442935,0.29856287,0.166325762,0.086633851,0.627711726,0.026169987,1
1292,0.135698164,0.271379886,0.149174202,0.067977689,0.636598247,0.019570992,2
26570,0.074582987,0.148673375,0.340110668,0.057798996,0.903597265,0.016176784,1
27913,0.195333727,0.321742504,0.137359333,0.069986029,0.507686209,0.020253824,1
27856,0.083256397,0.154325393,0.27180225,0.040454937,0.885568003,0.010811661,2
27534,0.09012096,0.20552002,0.190715834,0.018621718,0.750879398,0.004650746,1
27594,0.154693041,0.248201555,0.260548922,0.162477245,0.802947691,0.058507955,1
27531,0.180728208,0.274980494,0.394705279,0.38262496,0.640393145,0.202955578,2
27140,0.083702106,0.193175527,0.238900758,0.15839051,0.902672748,0.056557448,2
9001,0.076704646,0.172827905,0.272638761,0.158584649,0.900061353,0.056627527,1
21575,0.071226303,0.162618645,0.300921549,0.155439349,0.89476822,0.055213816,2
19091,0.077788902,0.185601757,0.221307568,0.03524925,0.867290705,0.009248519,1
26728,0.076820474,0.167615198,0.233580018,0.062120112,0.87287734,0.017594025,1
15350,0.054090224,0.137110813,0.274349846,0.170857549,0.940924436,0.062614428,1
23207,0.132845256,0.247711932,0.232410241,0.08656786,0.678678591,0.029311074,2
15392,0.054981628,0.168621191,0.217650153,0.045514187,0.811611394,0.012352505,2
8054,0.121919053,0.258038536,0.151049705,0.039605439,0.631804034,0.010535861,1
8155,0.18728773,0.344742258,0.121938767,0.086963791,0.490778536,0.026298844,1
21424,0.084420836,0.185973105,0.204084549,0.022203374,0.87168805,0.0056013,1
25685,0.105157889,0.225138666,0.198493517,0.08854655,0.716978287,0.026881919,1
16217,0.236840377,0.353943095,0.254447897,0.194666212,0.702167294,0.074897644,1
14833,0.02963697,0.086763472,0.399329191,0.159496838,0.989293759,0.057065729,2
21765,0.057088669,0.114477964,0.349400677,0.053522708,0.932964319,0.01480349,1
24648,0.060216219,0.172405176,0.236077439,0.058897112,0.816331681,0.01653855,1
8254,0.079286894,0.181275018,0.205418157,0.063931272,0.825510127,0.018440624,2
