,'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature','Mean Feature','Variance Feature','Standard Deviation Feature','RMS Feature',diagnostic
1073,0.017655,0.050706,0.932428,0.291839,0.985162,0.147599,0.3078,0.079101,0.280522,0.605791,3
1403,0.049758,0.115826,0.852014,0.346889,0.927196,0.18884,0.063518,0.004874,0.068876,0.402124,1
2233,0.04377,0.112597,0.853296,0.30074,0.957022,0.154012,0.034182,0.00097,0.030171,0.401615,3
826,0.017574,0.05043,0.932807,0.267659,0.993262,0.130828,0.094618,0.006103,0.077195,0.524296,1
1546,0.02145,0.061377,0.918267,0.435181,0.936014,0.263761,0.028637,0.000846,0.028125,0.286806,5
818,0.206455,0.352092,0.586307,0.282978,0.725584,0.141455,0.058473,0.003242,0.055994,0.423091,1
2204,0.079006,0.180246,0.771576,0.480267,0.705694,0.306418,0.013301,0.000311,0.01666,0.245292,5
1476,0.092229,0.18585,0.771778,0.197473,0.955086,0.086837,0.014713,0.000162,0.011769,0.238462,1
1809,0.245656,0.438585,0.478989,0.09868,0.893871,0.036574,0.014756,8.1e-05,0.008025,0.166396,4
1640,0.058007,0.157532,0.792421,0.322563,0.939842,0.170193,0.013162,0.000204,0.013317,0.267697,1
143,0.024779,0.070701,0.905903,0.327372,0.980279,0.173727,0.245084,0.038659,0.195808,0.624263,3
1116,0.555055,0.726908,0.232372,0.230714,0.0,0.107052,0.008369,7.1e-05,0.007478,0.150814,5
1420,0.067776,0.172388,0.775855,0.242907,0.958973,0.114585,0.003235,1.5e-05,0.003,0.060324,1
455,0.05766,0.133784,0.829807,0.412798,0.877593,0.243746,0.048471,0.003613,0.05916,0.349446,1
1513,0.052977,0.132798,0.827981,0.341778,0.918761,0.184892,0.013042,0.000216,0.013721,0.275536,3
1269,0.022804,0.065016,0.913481,0.428531,0.960863,0.257694,0.321795,0.108939,0.329382,0.663831,1
122,0.032684,0.088434,0.883508,0.237128,0.982704,0.110855,0.27437,0.056006,0.235883,0.627432,3
755,0.070624,0.178492,0.768382,0.306448,0.893193,0.158282,0.089826,0.006471,0.079516,0.484191,2
2124,0.060819,0.162617,0.786375,0.495194,0.709907,0.321031,0.020196,0.000528,0.022,0.245779,3
639,0.015255,0.04385,0.941554,0.422236,0.957589,0.252086,0.07128,0.00543,0.072754,0.456401,4
1013,0.270901,0.471038,0.446974,0.190423,0.722943,0.082964,0.123214,0.008127,0.089231,0.640042,1
691,0.063581,0.174383,0.769744,0.305892,0.902423,0.157975,0.009793,0.000114,0.009714,0.195309,1
24,0.030497,0.085368,0.88681,0.300718,0.970879,0.153988,0.018825,0.000276,0.015654,0.316728,1
1870,0.048474,0.110316,0.86,0.319401,0.944115,0.167785,0.028194,0.00082,0.027672,0.35363,3
1161,0.023427,0.066776,0.911144,0.373521,0.958978,0.210308,0.009361,7.7e-05,0.007847,0.15863,3
856,0.03865,0.107942,0.856942,0.501038,0.89736,0.326722,0.101058,0.017628,0.131895,0.491098,2
867,0.074214,0.172238,0.780836,0.371114,0.946136,0.20837,0.05893,0.004084,0.062965,0.398984,2
1366,0.117157,0.26542,0.664444,0.246169,0.867742,0.116852,0.023563,0.000381,0.018549,0.32067,1
302,0.068183,0.163769,0.789834,0.353957,0.904783,0.194482,0.026104,0.000623,0.02399,0.240143,2
1024,0.068932,0.168914,0.782205,0.285311,0.930421,0.143184,0.052069,0.002324,0.047251,0.425017,3
994,0.062148,0.17191,0.772617,0.486357,0.748312,0.312379,0.017966,0.000415,0.019392,0.290324,2
1418,0.069225,0.183478,0.759473,0.216984,0.94756,0.098433,0.003124,8e-06,0.001995,0.040788,1
1772,0.147609,0.332592,0.579869,0.248993,0.784882,0.11894,0.005263,2.8e-05,0.004396,0.088818,1
2223,0.016237,0.046202,0.938541,0.42232,0.959266,0.252123,0.08732,0.009225,0.095136,0.382771,1
2161,0.039469,0.110791,0.853023,0.400926,0.89811,0.233472,0.272706,0.081849,0.28537,0.611381,3
1397,0.014096,0.040562,0.945926,0.498832,0.933155,0.324496,0.19784,0.051205,0.225502,0.500426,3
1638,0.224937,0.43145,0.478425,0.259863,0.551923,0.12589,0.013881,0.000153,0.011414,0.230993,3
2009,0.033081,0.090719,0.880212,0.369909,0.935917,0.207325,0.064488,0.004846,0.068678,0.420016,3
2030,0.084546,0.210004,0.728499,0.208117,0.931876,0.093172,0.02961,0.000556,0.022607,0.446344,1
973,0.024315,0.0667,0.911927,0.374035,0.959698,0.210725,0.009872,0.000115,0.009749,0.196057,4
1692,0.041574,0.116703,0.845178,0.428612,0.86314,0.257864,0.175614,0.02438,0.155289,0.615988,3
90,0.037044,0.104346,0.861477,0.367751,0.928686,0.205549,0.036578,0.001242,0.034275,0.421424,3
1501,0.264898,0.373554,0.590824,0.535551,0.228504,0.362248,0.032042,0.002087,0.044732,0.346607,3
2021,0.024764,0.068913,0.908737,0.287225,0.990478,0.144357,0.089601,0.006751,0.081242,0.468059,4
780,0.023535,0.067033,0.910816,0.509423,0.945782,0.335123,0.211556,0.068734,0.261426,0.583036,1
2282,0.064228,0.176344,0.767107,0.306972,0.910504,0.15861,0.009415,9.4e-05,0.008746,0.176187,1
589,0.061196,0.161833,0.78794,0.343427,0.896143,0.186219,0.034472,0.001315,0.035305,0.329009,3
1415,0.038055,0.107857,0.856641,0.446205,0.863842,0.273917,0.117412,0.00985,0.098337,0.482915,1
1896,0.031571,0.089534,0.880981,0.410208,0.915643,0.241526,0.015002,0.000272,0.015517,0.311772,2
1145,0.022393,0.063882,0.914981,0.55627,0.940403,0.384121,0.082049,0.007876,0.087826,0.455146,3
2228,0.0667,0.185841,0.753822,0.406203,0.762858,0.237974,0.069356,0.005578,0.073754,0.464434,1
0,0.018098,0.05115,0.932047,0.603916,0.89948,0.437145,0.089912,0.014257,0.118512,0.411567,5
447,0.103938,0.224098,0.719774,0.383336,0.761312,0.218658,0.009465,0.000161,0.011712,0.234332,1
2018,0.04022,0.104353,0.863811,0.379959,0.910681,0.215665,0.154046,0.027808,0.165916,0.529703,3
142,0.030112,0.085509,0.886301,0.332069,0.959017,0.177337,0.407836,0.125131,0.353085,0.74963,2
1841,0.051108,0.140849,0.813834,0.272415,0.950816,0.134141,0.036488,0.000978,0.030301,0.407532,1
1833,0.047285,0.131588,0.825735,0.520676,0.764403,0.34669,0.0075,0.000114,0.009715,0.194153,3
1550,0.024236,0.069205,0.907879,0.363135,0.964279,0.201789,0.218707,0.052522,0.228397,0.582944,5
220,0.04471,0.124098,0.835742,0.305808,0.93764,0.157727,0.021347,0.000462,0.020517,0.413148,1
2101,0.0397,0.112181,0.850979,0.427433,0.869683,0.256712,0.116805,0.012636,0.111513,0.481318,1
1443,0.264155,0.430946,0.505798,0.166186,0.860054,0.069485,0.014067,0.000127,0.010301,0.209538,1
399,0.048427,0.125545,0.836115,0.320118,0.93096,0.168338,0.063294,0.003897,0.061483,0.41849,1
593,0.047658,0.127954,0.831774,0.815946,0.824838,0.711249,0.005752,9.4e-05,0.008728,0.173976,6
1753,0.258649,0.425056,0.508264,0.200243,0.703828,0.088591,0.025158,0.000443,0.020082,0.3532,2
349,0.020731,0.059338,0.920977,0.664247,0.861999,0.508813,0.011734,0.000186,0.012684,0.254524,4
749,0.053057,0.146371,0.806489,0.349148,0.908558,0.190619,0.102787,0.007516,0.085775,0.477884,4
332,0.07641,0.179957,0.77007,0.245029,0.934368,0.116049,0.03461,0.000592,0.023358,0.420367,3
1215,0.005988,0.017653,0.976358,0.492299,0.965158,0.317967,0.16681,0.026723,0.162626,0.511954,1
2254,0.031372,0.089081,0.881554,0.353262,0.947,0.193891,0.124605,0.016649,0.128152,0.477334,3
703,0.064043,0.132909,0.835242,0.232614,0.974617,0.107997,0.136536,0.013749,0.116366,0.548978,3
982,0.031511,0.087919,0.883502,0.306159,0.959987,0.157973,0.095266,0.007251,0.084233,0.489114,1
689,0.022325,0.063764,0.915118,0.399661,0.946811,0.232287,0.201083,0.038966,0.196587,0.529039,3
954,0.17007,0.29999,0.645333,0.229986,0.855008,0.106409,0.034553,0.000932,0.029567,0.37407,3
1991,0.030763,0.087496,0.883623,0.277581,0.97324,0.137615,0.003712,1.9e-05,0.003445,0.069299,1
771,0.039662,0.112355,0.850677,0.433873,0.891449,0.262567,0.223667,0.046666,0.215231,0.639372,1
669,0.051617,0.14563,0.806608,0.543738,0.800583,0.370835,0.006646,6.3e-05,0.006975,0.139964,5
549,0.196267,0.405828,0.499226,0.225394,0.731042,0.103764,0.040704,0.001251,0.034408,0.402408,2
1382,0.04686,0.131799,0.825082,0.468176,0.821383,0.294607,0.198929,0.041106,0.201939,0.561531,2
454,0.049059,0.136791,0.818774,0.200228,0.979313,0.088402,0.014724,0.000146,0.011117,0.225804,1
1737,0.117351,0.299224,0.610807,0.221288,0.849732,0.101232,0.004545,2e-05,0.003531,0.071536,3
157,0.042431,0.118211,0.843402,0.284327,0.958282,0.142341,0.132941,0.016333,0.126921,0.535179,1
1451,0.067106,0.1871,0.752127,0.448312,0.73427,0.276195,0.011697,0.000147,0.011144,0.224365,4
292,0.170011,0.347737,0.571026,0.243339,0.744061,0.11508,0.004243,2.2e-05,0.003836,0.077242,4
1621,0.039908,0.111255,0.85261,0.410828,0.9029,0.242049,0.036488,0.001634,0.03946,0.297105,3
264,0.037886,0.102982,0.864211,0.590559,0.778396,0.422069,0.064488,0.009278,0.09541,0.355115,4
636,0.03494,0.098786,0.868761,0.388629,0.91261,0.222955,0.042537,0.001327,0.035459,0.484664,2
1265,0.290477,0.531189,0.368687,0.255204,0.539473,0.122905,0.014477,0.000207,0.013427,0.183529,4
1562,0.028574,0.076981,0.898682,0.604122,0.901835,0.43738,0.055536,0.007173,0.08377,0.290357,4
1986,0.020597,0.05893,0.921526,0.443875,0.96816,0.271679,0.166547,0.023027,0.150891,0.624997,4
526,0.034369,0.091584,0.879766,0.267017,0.975569,0.130427,0.075964,0.003957,0.061963,0.541629,1
2107,0.054088,0.145365,0.808864,0.470807,0.775471,0.297358,0.076476,0.007246,0.084202,0.467522,3
949,0.023921,0.068168,0.909297,0.463209,0.932902,0.289773,0.081932,0.008099,0.089074,0.471755,3
484,0.222889,0.434171,0.472833,0.277757,0.620061,0.137962,0.000593,2e-06,0.00086,0.016963,5
1496,0.022419,0.060535,0.920303,0.536064,0.914944,0.362646,0.227548,0.096675,0.310228,0.476964,3
516,0.179445,0.351777,0.571213,0.116683,0.924157,0.044772,0.113625,0.005125,0.070657,0.658783,5
1691,0.02676,0.071684,0.905711,0.422837,0.945692,0.252636,0.039755,0.002546,0.049505,0.321939,1
977,0.027682,0.078832,0.89512,0.347681,0.95831,0.189448,0.021409,0.00042,0.019523,0.393764,5
810,0.09772,0.222316,0.718414,0.358563,0.794753,0.198417,0.03137,0.001162,0.033122,0.325528,3
968,0.037744,0.103177,0.863822,0.450111,0.918237,0.277538,0.023109,0.000779,0.026947,0.289148,1
1020,0.026397,0.074153,0.901601,0.341106,0.956039,0.184306,0.286057,0.092996,0.304249,0.582953,3
921,0.057995,0.16039,0.787855,0.50868,0.701934,0.334504,0.110849,0.016751,0.128545,0.483248,1
456,0.037775,0.106961,0.857858,0.575755,0.775853,0.405487,0.030034,0.00159,0.038918,0.287663,1
538,0.058942,0.156408,0.794881,0.287845,0.923488,0.144904,0.100111,0.006495,0.079666,0.496357,2
1290,0.381963,0.577425,0.35105,0.036682,0.893691,0.011971,0.01372,4.9e-05,0.006081,0.128654,3
1178,0.067881,0.173412,0.774427,0.255906,0.934133,0.123051,0.032132,0.00081,0.027496,0.351921,3
1651,0.011608,0.033716,0.954971,0.354016,0.981032,0.194455,0.021579,0.000436,0.019913,0.401473,5
500,0.028274,0.080427,0.893023,0.570387,0.938243,0.399578,0.031069,0.001453,0.03716,0.352936,5
1595,0.087193,0.207921,0.733338,0.352957,0.855774,0.193846,0.011144,0.00017,0.012087,0.24251,3
604,0.041763,0.113557,0.850323,0.439282,0.886702,0.267562,0.092007,0.013718,0.116233,0.43973,3
364,0.143897,0.274868,0.66743,0.207634,0.886998,0.092861,0.206891,0.024698,0.156304,0.689204,3
321,0.011808,0.03425,0.95427,0.227728,0.998666,0.104933,0.026193,0.000545,0.022378,0.404325,1
585,0.034807,0.0973,0.871028,0.453096,0.950869,0.280252,0.097555,0.011065,0.104286,0.444776,1
225,0.029377,0.082696,0.89023,0.491586,0.902634,0.317246,0.008978,0.000123,0.010128,0.202984,1
1591,0.236338,0.372161,0.577035,0.309241,0.669286,0.160312,0.006678,6.1e-05,0.006846,0.13746,3
1951,0.225007,0.429038,0.482618,0.15599,0.811386,0.064166,0.081346,0.00298,0.053635,0.575488,3
1009,0.026978,0.076887,0.897692,0.586671,0.82292,0.417649,0.304267,0.09663,0.310156,0.670216,3
641,0.063695,0.165221,0.784364,0.440416,0.805671,0.268665,0.014505,0.000364,0.018116,0.273234,3
1639,0.045222,0.12358,0.836935,0.313738,0.938615,0.163603,0.013686,0.000186,0.01269,0.255739,3
1587,0.068174,0.175723,0.770769,0.182523,0.971725,0.078335,0.002766,9e-06,0.002119,0.042894,1
269,0.026041,0.074249,0.901195,0.677474,0.789259,0.525151,0.090195,0.021993,0.147438,0.39373,3
1617,0.041055,0.097942,0.874244,0.245393,0.972403,0.116146,0.186266,0.026947,0.163311,0.567678,1
367,0.06453,0.16996,0.777449,0.211293,0.958608,0.09499,0.006063,3.3e-05,0.004865,0.098473,1
1655,0.018739,0.053564,0.928685,0.42906,0.949127,0.258208,0.012921,0.000252,0.014916,0.298916,3
1865,0.173042,0.36347,0.549061,0.125933,0.948376,0.049071,0.008717,3.8e-05,0.005232,0.107629,3
1819,0.12127,0.288821,0.630224,0.179861,0.928799,0.077012,0.018605,0.000202,0.013234,0.269632,3
438,0.212187,0.463756,0.419393,0.184126,0.688161,0.079439,0.010325,7.2e-05,0.007511,0.152785,4
404,0.036305,0.098551,0.870121,0.50225,0.887077,0.327971,0.002491,2.5e-05,0.004049,0.080459,4
1742,0.04203,0.105222,0.863763,0.197991,0.988903,0.087122,0.058132,0.002179,0.045719,0.50173,1
427,0.36665,0.635709,0.257543,0.085781,0.713453,0.031026,0.001528,2e-06,0.000665,0.013956,3
172,0.028764,0.079287,0.895172,0.477152,0.888052,0.303209,0.312565,0.136122,0.368308,0.61477,3
1342,0.03508,0.096811,0.872006,0.232915,0.982613,0.108194,0.019811,0.000294,0.016185,0.327699,6
1920,0.024394,0.069104,0.908158,0.468106,0.957514,0.294469,0.165714,0.032953,0.180702,0.502391,5
113,0.070417,0.187797,0.753473,0.388759,0.795227,0.223202,0.043824,0.002446,0.048502,0.370959,3
1899,0.03573,0.097708,0.87103,0.471899,0.880942,0.298199,0.162087,0.041191,0.20215,0.529661,3
1929,0.022832,0.065228,0.913165,0.58209,0.858518,0.412436,0.233324,0.088868,0.297397,0.602716,3
1714,0.062072,0.156994,0.796269,0.351739,0.887696,0.192732,0.084236,0.006766,0.081332,0.480847,3
726,0.020577,0.058366,0.922409,0.567155,0.884405,0.396041,0.033708,0.001683,0.040065,0.30697,2
560,0.007766,0.022932,0.969277,0.638575,0.888112,0.477642,0.236595,0.055724,0.235287,0.502942,3
699,0.099934,0.215324,0.730724,0.30224,0.874974,0.155183,0.022531,0.000567,0.022833,0.34414,1
1264,0.028852,0.081836,0.89121,0.494016,0.967777,0.319677,0.059172,0.006059,0.076913,0.37654,5
1758,0.184004,0.359425,0.56298,0.228477,0.764468,0.105617,0.015072,0.000175,0.012262,0.24828,2
2072,0.024327,0.069429,0.907592,0.390729,0.980701,0.224664,0.077147,0.004955,0.069455,0.449952,6
2197,0.019758,0.056623,0.924574,0.467979,0.942845,0.294317,0.080016,0.006808,0.081589,0.416591,4
1155,0.057738,0.16063,0.787271,0.393892,0.839164,0.227621,0.008371,0.000106,0.009342,0.187252,3
2145,0.030827,0.086178,0.885759,0.231969,0.987729,0.107589,0.112816,0.006423,0.079214,0.52637,3
2108,0.024279,0.062501,0.918182,0.243305,0.991962,0.114784,0.048939,0.001934,0.043024,0.459266,6
548,0.037969,0.104993,0.861132,0.451041,0.87085,0.2784,0.042319,0.00279,0.051871,0.305506,3
50,0.045559,0.11223,0.855083,0.256496,0.986394,0.123363,0.296719,0.07133,0.266335,0.701562,3
29,0.043942,0.109953,0.857605,0.240495,0.97105,0.113015,0.119037,0.010874,0.103376,0.512813,3
307,0.098907,0.249059,0.677156,0.369377,0.759906,0.207155,0.037824,0.001523,0.038064,0.371696,4
1185,0.01416,0.040621,0.945879,0.754123,0.76838,0.624833,0.091489,0.02362,0.152834,0.341958,1
742,0.100562,0.238731,0.694521,0.309904,0.836754,0.16084,0.006193,5.4e-05,0.006399,0.128438,2
1944,0.051196,0.13874,0.817253,0.385911,0.896785,0.220616,0.044771,0.002522,0.049271,0.348309,1
1653,0.041789,0.116968,0.844917,0.261667,0.970358,0.126851,0.269738,0.053633,0.230811,0.714686,3
1816,0.074635,0.194979,0.745182,0.286486,0.900746,0.144203,0.054659,0.002569,0.049728,0.414607,4
1322,0.044945,0.121189,0.840548,0.382858,0.976775,0.218033,0.027282,0.000557,0.022631,0.361935,5
2231,0.052804,0.126395,0.837778,0.425243,0.876121,0.254828,0.04196,0.002533,0.049378,0.278151,1
434,0.218639,0.349301,0.599294,0.293029,0.800162,0.148493,0.01016,0.00013,0.010425,0.209432,6
1087,0.078501,0.196721,0.745236,0.24007,0.936216,0.112811,0.032132,0.000755,0.02651,0.441742,3
1668,0.023116,0.065458,0.913008,0.266629,0.988159,0.130157,0.319371,0.07665,0.276126,0.674454,3
1058,0.021382,0.060988,0.918836,0.404503,0.943041,0.236455,0.082657,0.006848,0.081827,0.427287,1
1509,0.026789,0.075986,0.898986,0.597603,0.800441,0.429927,0.015008,0.000599,0.023499,0.286622,4
1555,0.153194,0.258638,0.698455,0.283728,0.878312,0.142006,0.050833,0.002479,0.048833,0.360334,1
746,0.087512,0.229632,0.699501,0.263225,0.885628,0.128043,0.064614,0.003222,0.055818,0.472206,1
2238,0.069804,0.184062,0.758942,0.302503,0.896317,0.155356,0.108583,0.010483,0.101482,0.560513,2
1291,0.01466,0.042116,0.943872,0.486389,0.984055,0.312129,0.164275,0.029672,0.171419,0.581173,5
715,0.069473,0.179729,0.765548,0.420078,0.785781,0.250382,0.012858,0.000243,0.014629,0.246236,3
272,0.149393,0.329426,0.586393,0.196038,0.853392,0.086174,0.142738,0.011183,0.104845,0.652669,3
2004,0.057895,0.134672,0.828224,0.318394,0.930562,0.167036,0.134733,0.0192,0.137694,0.518992,1
1384,0.08786,0.193743,0.756469,0.37187,0.798527,0.209029,0.071597,0.005287,0.071776,0.385263,1
1299,0.055372,0.149106,0.803865,0.344336,0.893424,0.186929,0.006297,5.6e-05,0.006516,0.130785,3
1997,0.03941,0.110828,0.852918,0.425968,0.888722,0.255438,0.075924,0.008033,0.088708,0.36826,2
731,0.028445,0.080624,0.892837,0.585145,0.820769,0.415932,0.006831,8.6e-05,0.008346,0.166939,5
827,0.029032,0.082675,0.890009,0.387711,0.937536,0.222098,0.244794,0.04113,0.201999,0.676056,1
1989,0.035207,0.095796,0.873681,0.355857,0.94851,0.195983,0.080019,0.004037,0.062592,0.508011,1
1868,0.035332,0.096987,0.871912,0.341118,0.945012,0.184307,0.040992,0.001817,0.041665,0.342921,1
1390,0.117954,0.257887,0.676634,0.377588,0.693546,0.213865,0.064867,0.005039,0.070047,0.45083,3
1684,0.099593,0.254863,0.668414,0.318105,0.771931,0.166965,0.009553,0.000101,0.009088,0.182939,1
253,0.015151,0.043443,0.942124,0.474017,0.976525,0.300129,0.096435,0.01,0.099093,0.425013,4
107,0.133972,0.308877,0.607929,0.159175,0.917425,0.066016,0.015433,0.000145,0.011063,0.225288,1
1304,0.040174,0.110273,0.854357,0.281965,0.97113,0.140712,0.124409,0.014191,0.118238,0.548779,1
98,0.049037,0.131475,0.827195,0.419917,0.883904,0.250152,0.056302,0.004399,0.065388,0.384531,1
816,0.034732,0.098418,0.869191,0.300056,0.956817,0.153572,0.026798,0.000461,0.020506,0.416396,4
587,0.020749,0.058449,0.922405,0.27524,0.989422,0.135988,0.057967,0.002741,0.051406,0.479019,1
1358,0.114231,0.273218,0.650079,0.202506,0.922139,0.089892,0.008791,6.7e-05,0.007255,0.146741,3
934,0.077651,0.207176,0.728004,0.406505,0.735228,0.238454,0.128457,0.012228,0.109684,0.671604,3
1085,0.189982,0.393667,0.513936,0.293384,0.775798,0.149291,0.007353,5.9e-05,0.006728,0.135559,5
1259,0.100325,0.241088,0.690784,0.3941,0.679684,0.227781,0.038972,0.001755,0.040935,0.311016,1
2291,0.211816,0.420819,0.486162,0.284658,0.524018,0.142839,0.004545,2.6e-05,0.004218,0.084877,1
2136,0.110303,0.236826,0.704511,0.323777,0.825074,0.171188,0.056538,0.003174,0.05539,0.413848,3
1901,0.238308,0.443549,0.469433,0.176394,0.790786,0.075151,0.036505,0.000705,0.025577,0.409697,1
80,0.0288,0.082018,0.890881,0.546567,0.854464,0.373738,0.268521,0.107112,0.326598,0.561623,3
719,0.143717,0.290507,0.643819,0.275669,0.834248,0.13645,0.019453,0.000344,0.017576,0.262763,1
1851,0.118811,0.243106,0.701019,0.426243,0.718091,0.255771,0.00681,0.000107,0.009379,0.187243,1
1227,0.025152,0.071568,0.9048,0.463224,0.904969,0.289813,0.078404,0.009594,0.097038,0.372697,3
286,0.161699,0.347414,0.566787,0.214588,0.803066,0.097136,0.015327,0.000169,0.012028,0.243908,2
2027,0.030747,0.087497,0.88361,0.374354,0.945612,0.210958,0.033205,0.000916,0.029296,0.380354,4
503,0.042873,0.098773,0.874265,0.327078,0.958438,0.173536,0.042268,0.001829,0.041811,0.382411,3
1168,0.024591,0.070178,0.906595,0.37617,0.95506,0.212463,0.040751,0.001364,0.035973,0.428127,4
2011,0.022584,0.064164,0.914668,0.530657,0.90044,0.35696,0.140232,0.036509,0.190254,0.474756,1
577,0.069114,0.171372,0.778483,0.240362,0.950379,0.112996,0.024105,0.000439,0.019987,0.359415,1
1371,0.092501,0.200484,0.748674,0.389612,0.837309,0.223756,0.062516,0.005486,0.073132,0.392454,1
2015,0.039684,0.108841,0.856282,0.484864,0.857473,0.310726,0.098873,0.012492,0.11087,0.483828,6
916,0.031893,0.090285,0.880025,0.634823,0.778954,0.473179,0.170206,0.061695,0.247625,0.441862,3
656,0.107952,0.252515,0.677749,0.302997,0.839872,0.155718,0.027682,0.000836,0.027951,0.331259,1
1413,0.041061,0.112126,0.852043,0.292691,0.962199,0.148295,0.005005,3.2e-05,0.004695,0.094466,1
1678,0.013506,0.038905,0.948124,0.396575,0.966987,0.22961,0.116799,0.015031,0.121714,0.440204,1
1483,0.022834,0.062357,0.917718,0.367264,0.95745,0.205166,0.234302,0.06869,0.261341,0.543647,3
2014,0.00684,0.020231,0.972888,0.493336,0.957718,0.318994,0.056612,0.003733,0.060157,0.415916,4
413,0.091179,0.223866,0.711393,0.373503,0.795376,0.210536,0.022173,0.000637,0.024271,0.315013,3
83,0.085859,0.219082,0.71512,0.346779,0.83611,0.18878,0.074519,0.005226,0.071356,0.470296,2
2295,0.089799,0.20793,0.735652,0.29775,0.857019,0.152027,0.035269,0.001154,0.033009,0.342439,4
326,0.004519,0.013807,0.981386,0.478145,0.967984,0.304099,0.494096,0.258543,0.507974,0.60783,2
832,0.027418,0.075636,0.900008,0.603823,0.841818,0.437071,0.032564,0.001262,0.034561,0.393053,1
342,0.053622,0.151168,0.799277,0.381279,0.865623,0.216804,0.026108,0.000784,0.027031,0.354145,3
3,0.023206,0.066215,0.911873,0.321834,0.968085,0.169531,0.23894,0.06051,0.245224,0.59781,3
153,0.223392,0.377056,0.560702,0.261495,0.69924,0.127035,0.069502,0.003691,0.059811,0.506586,1
