,'Contrast Feature','Dissimilarity Feature','Homogeneity Feature','Energy Feature','Correlation Feature','ASM Feature','Mean Feature','Variance Feature','Standard Deviation Feature','RMS Feature',diagnostic
901,0.01079,0.03143,0.958001,0.603796,0.894556,0.436964,0.38321,0.218766,0.467186,0.575615,3
1695,0.106773,0.246218,0.687044,0.255305,0.919322,0.122717,0.072678,0.003916,0.061632,0.479875,1
1318,0.100396,0.249345,0.677488,0.287453,0.838957,0.144583,0.075514,0.004834,0.068593,0.53009,3
1121,0.037793,0.103554,0.863243,0.434024,0.877317,0.262699,0.022417,0.0007,0.025494,0.233223,1
1623,0.406262,0.647461,0.26549,0.109286,0.741332,0.041359,0.005637,1.6e-05,0.003152,0.065137,1
97,0.029499,0.082594,0.890479,0.460563,0.905011,0.287365,0.049507,0.002613,0.050169,0.410688,3
878,0.387711,0.572095,0.365058,0.21943,0.455258,0.100116,0.049763,0.001591,0.038931,0.462568,3
9,0.028746,0.081617,0.891479,0.362657,0.954947,0.201416,0.275993,0.073497,0.270366,0.653428,3
2071,0.017276,0.049636,0.933849,0.535624,0.896555,0.362143,0.045695,0.002384,0.047871,0.402856,3
1411,0.057654,0.148089,0.807092,0.304937,0.935888,0.157066,0.030443,0.001009,0.030792,0.290134,1
218,0.054277,0.135457,0.824663,0.284436,0.955817,0.142421,0.026893,0.000735,0.026134,0.3348,4
2264,0.037671,0.099502,0.869599,0.247639,0.985282,0.117574,0.113782,0.010269,0.100429,0.498682,3
51,0.019383,0.054378,0.927867,0.49706,0.943576,0.322687,0.28525,0.105357,0.323904,0.658549,1
1510,0.038338,0.10838,0.856019,0.32417,0.941664,0.171416,0.029935,0.000722,0.025909,0.35454,3
1059,0.044546,0.124497,0.834983,0.457866,0.838081,0.284811,0.032132,0.001682,0.040046,0.246728,3
691,0.063581,0.174383,0.769744,0.305892,0.902423,0.157975,0.009793,0.000114,0.009714,0.195309,1
1289,0.028245,0.080425,0.893004,0.383384,0.953624,0.21848,0.527537,0.186842,0.431678,0.818928,5
1369,0.082301,0.209003,0.728535,0.535331,0.620151,0.362158,0.040886,0.002941,0.05328,0.357197,4
391,0.189179,0.358758,0.56792,0.293979,0.693158,0.14933,0.020417,0.000457,0.020399,0.258365,1
290,0.05362,0.134975,0.824769,0.302158,0.933252,0.155057,0.029221,0.00082,0.027675,0.35461,3
2086,0.042394,0.11812,0.843534,0.300873,0.94408,0.154128,0.022937,0.000518,0.02178,0.317409,3
658,0.098766,0.223973,0.71655,0.249939,0.889813,0.119376,0.047018,0.001641,0.039551,0.414922,4
1815,0.043955,0.122145,0.83829,0.476895,0.848977,0.302958,0.02794,0.001365,0.035983,0.277447,1
153,0.223392,0.377056,0.560702,0.261495,0.69924,0.127035,0.069502,0.003691,0.059811,0.506586,1
1737,0.117351,0.299224,0.610807,0.221288,0.849732,0.101232,0.004545,2e-05,0.003531,0.071536,3
1212,0.039959,0.112564,0.850558,0.526979,0.792777,0.353148,0.245924,0.123581,0.350885,0.469885,1
285,0.04512,0.121843,0.839635,0.435962,0.870791,0.264524,0.062711,0.005042,0.070075,0.384874,3
1464,0.012331,0.035757,0.952261,0.725443,0.792777,0.586566,0.344516,0.2016,0.448441,0.442836,4
1842,0.023937,0.066706,0.911595,0.38949,0.954387,0.223599,0.237691,0.07626,0.27542,0.529723,1
1580,0.066211,0.169181,0.779937,0.323997,0.926777,0.171312,0.019811,0.000431,0.019803,0.300234,4
1977,0.067185,0.170176,0.778686,0.359762,0.854489,0.199219,0.032132,0.00122,0.033971,0.358184,3
251,0.02553,0.072824,0.903082,0.620845,0.792411,0.456685,0.158978,0.039739,0.198537,0.479988,1
854,0.107817,0.237445,0.701305,0.387501,0.805835,0.222148,0.032448,0.001369,0.036041,0.322607,1
858,0.089595,0.206807,0.737084,0.207667,0.938675,0.092946,0.315095,0.064252,0.252724,0.740309,1
1478,0.03262,0.089302,0.882092,0.331849,0.965985,0.177151,0.032609,0.000875,0.028608,0.429677,1
1870,0.048474,0.110316,0.86,0.319401,0.944115,0.167785,0.028194,0.00082,0.027672,0.35363,3
732,0.082644,0.226736,0.700598,0.275947,0.870283,0.136701,0.016802,0.000232,0.014263,0.288336,3
170,0.208764,0.383639,0.540794,0.277447,0.719682,0.137835,0.009662,0.000112,0.009607,0.193157,1
1881,0.055137,0.15091,0.800805,0.495086,0.822426,0.320789,0.064235,0.007133,0.083534,0.428123,2
1999,0.042278,0.105239,0.863692,0.274558,0.966975,0.135578,0.150102,0.017718,0.132234,0.578644,1
1184,0.029799,0.083502,0.889262,0.432161,0.912912,0.260985,0.119593,0.015486,0.123561,0.487877,3
86,0.033862,0.093772,0.875929,0.500026,0.943599,0.325764,0.066726,0.005243,0.071477,0.329616,6
266,0.104969,0.252338,0.676271,0.29556,0.937862,0.15037,0.030282,0.000659,0.024712,0.320216,6
1780,0.070813,0.172974,0.777352,0.320053,0.906445,0.16827,0.013548,0.000239,0.014505,0.291166,1
1012,0.09644,0.230659,0.704501,0.212341,0.943157,0.095645,0.004942,2.4e-05,0.004026,0.081405,2
514,0.073895,0.19071,0.751276,0.479334,0.726826,0.305419,0.000745,7e-06,0.001826,0.035954,3
518,0.035568,0.100513,0.86648,0.640117,0.753359,0.479536,0.064248,0.008061,0.088866,0.349665,1
567,0.00813,0.023708,0.968314,0.637766,0.949436,0.476645,0.029963,0.001378,0.036165,0.221693,5
206,0.02944,0.08341,0.889142,0.309316,0.973256,0.160275,0.048104,0.001692,0.040175,0.406077,1
541,0.198686,0.349435,0.587353,0.279872,0.629409,0.139384,0.043668,0.001617,0.039248,0.385073,1
1719,0.024826,0.070593,0.906107,0.303566,0.985303,0.156015,0.318733,0.078396,0.279265,0.690402,3
1762,0.047273,0.126248,0.834221,0.507873,0.781515,0.33362,0.139207,0.022748,0.149968,0.597676,1
1375,0.081803,0.145906,0.826436,0.292389,0.943773,0.148007,0.055222,0.003013,0.053944,0.449522,1
1500,0.034822,0.098901,0.86849,0.574796,0.757132,0.404418,0.374404,0.141618,0.375691,0.589892,3
2292,0.048155,0.127381,0.833038,0.40654,0.877146,0.238306,0.013663,0.00033,0.017197,0.240715,2
811,0.050474,0.137097,0.819341,0.407491,0.883324,0.239147,0.029935,0.000971,0.030189,0.360877,3
2117,0.034903,0.088326,0.885304,0.341139,0.973657,0.184333,0.010978,0.000159,0.011636,0.233581,5
533,0.020011,0.056435,0.925059,0.402335,0.95794,0.234592,0.110034,0.01035,0.100829,0.523443,1
934,0.077651,0.207176,0.728004,0.406505,0.735228,0.238454,0.128457,0.012228,0.109684,0.671604,3
1595,0.087193,0.207921,0.733338,0.352957,0.855774,0.193846,0.011144,0.00017,0.012087,0.24251,3
276,0.047926,0.131819,0.825837,0.388201,0.879719,0.22253,0.045835,0.00266,0.050621,0.341162,1
2079,0.033018,0.092757,0.876926,0.388992,0.926582,0.22319,0.103046,0.011449,0.1061,0.455565,1
1045,0.095627,0.144915,0.836967,0.384948,0.877784,0.21979,0.044349,0.002469,0.048731,0.299256,5
1985,0.033711,0.09461,0.87448,0.45603,0.897284,0.283036,0.117833,0.014058,0.117678,0.474703,1
1912,0.023009,0.065344,0.913113,0.433024,0.927427,0.261806,0.333961,0.135807,0.367882,0.665064,3
421,0.09928,0.246122,0.682066,0.336289,0.796508,0.180805,0.022937,0.000594,0.023397,0.289141,3
1203,0.000782,0.003305,0.995321,0.642522,0.971421,0.482336,0.159001,0.036003,0.188926,0.422041,5
498,0.463495,0.731024,0.173878,0.158321,0.296066,0.065612,0.003513,1.1e-05,0.002421,0.049295,4
860,0.036062,0.08582,0.89015,0.663538,0.72293,0.507932,0.035477,0.00308,0.054553,0.291823,1
1281,0.117777,0.277373,0.646031,0.143091,0.968672,0.057471,0.004168,1.3e-05,0.002682,0.054863,3
1391,0.031305,0.088387,0.882605,0.383262,0.943029,0.218376,0.320897,0.080923,0.283746,0.743146,3
1424,0.055603,0.156103,0.792905,0.353015,0.91964,0.19376,0.004806,3.3e-05,0.004802,0.096424,6
208,0.049999,0.129584,0.830945,0.278901,0.958031,0.138638,0.018292,0.000311,0.016671,0.336208,1
693,0.034823,0.076474,0.903881,0.491362,0.886805,0.317076,0.044062,0.003003,0.053846,0.298504,3
1051,0.055697,0.151729,0.799922,0.323695,0.938301,0.171021,0.122335,0.012706,0.111824,0.57981,3
1303,0.047216,0.123412,0.838585,0.433251,0.881489,0.261992,0.085117,0.011552,0.106581,0.434128,3
1953,0.059701,0.160178,0.789416,0.261985,0.939149,0.127131,0.116794,0.011521,0.106435,0.571565,3
145,0.055669,0.136253,0.82409,0.270934,0.944152,0.133117,0.10989,0.009428,0.096187,0.515303,1
2287,0.030138,0.085687,0.886037,0.244898,0.983996,0.115818,0.260361,0.046418,0.214656,0.682073,6
1172,0.025564,0.072928,0.902942,0.42618,0.921308,0.255643,0.398507,0.087004,0.294251,0.800604,3
11,0.07376,0.178133,0.771176,0.301376,0.896344,0.15455,0.032222,0.000985,0.03042,0.363333,1
432,0.136487,0.282867,0.649791,0.270455,0.824257,0.132836,0.00079,2e-06,0.000729,0.014557,1
1052,0.032289,0.091743,0.877998,0.420549,0.923133,0.250574,0.194095,0.050262,0.223407,0.542979,1
1548,0.081879,0.204268,0.735627,0.391396,0.798498,0.225456,0.011085,0.000217,0.013764,0.214507,4
1295,0.227872,0.360446,0.586067,0.157473,0.885866,0.064861,0.009377,5.2e-05,0.006282,0.12834,3
1230,0.038682,0.109789,0.854032,0.697447,0.605917,0.550321,0.237975,0.042736,0.205924,0.788889,4
1536,0.056019,0.148371,0.805497,0.376297,0.889679,0.212678,0.025033,0.000712,0.025716,0.333069,1
1316,0.174254,0.299786,0.648409,0.38938,0.654545,0.223694,0.211255,0.060369,0.244937,0.591927,3
906,0.016947,0.04583,0.939645,0.272725,0.987882,0.134281,0.037498,0.000779,0.026949,0.54891,5
256,0.021571,0.061368,0.918371,0.443635,0.936471,0.271474,0.114516,0.014736,0.120506,0.406648,4
1709,0.078152,0.211873,0.720904,0.326704,0.827198,0.173414,0.094375,0.007714,0.086909,0.554957,3
1400,0.196586,0.387165,0.528524,0.206853,0.763748,0.092502,0.032766,0.00067,0.024919,0.390057,1
897,0.046542,0.123187,0.83854,0.419391,0.960695,0.249682,0.008371,0.000115,0.009781,0.19587,4
2126,0.012745,0.03657,0.951274,0.539071,0.925397,0.365779,0.335268,0.141813,0.37595,0.633615,1
1650,0.120936,0.243909,0.700095,0.465691,0.549786,0.292328,0.000538,3e-06,0.001043,0.020486,5
289,0.283122,0.449995,0.487699,0.26895,0.767203,0.131898,0.031448,0.000927,0.029478,0.324286,5
935,0.022275,0.063672,0.915228,0.451738,0.920641,0.279014,0.013167,0.000213,0.01362,0.273634,2
1323,0.018035,0.051672,0.931173,0.408527,0.97011,0.239958,0.201083,0.040124,0.199501,0.548625,1
1446,0.034243,0.096826,0.871362,0.455405,0.894043,0.282474,0.050342,0.002281,0.046803,0.358315,1
1005,0.068984,0.184469,0.757694,0.22614,0.942054,0.104065,0.020172,0.000295,0.016206,0.32836,3
1523,0.060614,0.152758,0.801884,0.378387,0.922841,0.214376,0.011034,0.000161,0.011745,0.235746,4
1619,0.2348,0.406682,0.523074,0.199487,0.81712,0.088077,0.043024,0.001226,0.034056,0.380085,1
1407,0.031497,0.089348,0.881221,0.482638,0.904994,0.308549,0.048766,0.00403,0.062541,0.323531,3
408,0.069314,0.185301,0.756616,0.383734,0.818238,0.219063,0.006338,4.9e-05,0.00606,0.121914,1
2128,0.031266,0.08586,0.886589,0.477222,0.928589,0.303222,0.055516,0.004507,0.066192,0.364498,3
1234,0.274206,0.472525,0.447587,0.193148,0.740704,0.084792,0.013377,0.000134,0.010622,0.21526,1
2109,0.178249,0.268843,0.697085,0.340389,0.801789,0.183809,0.026607,0.000895,0.028946,0.332449,1
986,0.04678,0.116447,0.849417,0.412216,0.892534,0.243243,0.020244,0.000612,0.023768,0.316857,1
1125,0.031484,0.089449,0.88105,0.272534,0.973965,0.134199,0.07838,0.004308,0.064697,0.483358,4
574,0.016423,0.047072,0.937296,0.591637,0.908269,0.42316,0.055126,0.006854,0.081864,0.300962,1
1155,0.057738,0.16063,0.787271,0.393892,0.839164,0.227621,0.008371,0.000106,0.009342,0.187252,3
1656,0.021245,0.054223,0.929266,0.728084,0.719291,0.590058,0.01714,0.000694,0.025381,0.232567,1
757,0.098401,0.242656,0.686874,0.374375,0.727778,0.211257,0.004589,4.8e-05,0.006029,0.120353,1
2227,0.042049,0.118865,0.842091,0.361788,0.913468,0.20071,0.048168,0.00179,0.04135,0.463259,1
1770,0.132926,0.255492,0.690843,0.322549,0.82519,0.170153,0.224941,0.053843,0.231263,0.660653,1
767,0.134352,0.29982,0.622269,0.230476,0.858788,0.106983,0.009532,7.9e-05,0.007913,0.160036,4
1190,0.089864,0.218908,0.718281,0.203735,0.950286,0.09053,0.165882,0.015631,0.12414,0.692666,1
1982,0.222954,0.384612,0.550527,0.3014,0.649455,0.154648,0.134559,0.015944,0.125387,0.569692,2
1461,0.015159,0.043516,0.942014,0.563007,0.967142,0.391415,0.014088,0.000329,0.017178,0.227515,6
495,0.035116,0.08866,0.884724,0.551076,0.904626,0.378559,0.011103,0.000241,0.014559,0.291055,5
528,0.062294,0.150419,0.806637,0.300989,0.92605,0.154237,0.03396,0.001087,0.032004,0.370074,1
1320,0.025187,0.07103,0.905683,0.50091,0.920343,0.32656,0.043147,0.003352,0.056951,0.330582,1
997,0.045826,0.120206,0.842722,0.363988,0.906132,0.202531,0.070355,0.005627,0.074081,0.422715,1
2044,0.038455,0.102184,0.865962,0.311587,0.951723,0.161957,0.07896,0.005808,0.075282,0.450347,3
695,0.037769,0.106488,0.858606,0.313081,0.968021,0.163021,0.015842,0.000274,0.015598,0.313828,1
664,0.125356,0.284656,0.63904,0.219825,0.888042,0.100286,0.084466,0.003938,0.061808,0.523505,5
662,0.169747,0.345111,0.575778,0.283232,0.729647,0.141686,0.107932,0.009585,0.096995,0.58675,3
189,0.020658,0.059116,0.921276,0.464177,0.924091,0.290731,0.172133,0.030482,0.173757,0.457994,3
1917,0.012574,0.036157,0.951805,0.373717,0.981964,0.210435,0.043748,0.001551,0.038416,0.433706,3
1457,0.238684,0.422003,0.501696,0.149445,0.826632,0.060789,0.032766,0.000493,0.021232,0.407564,1
879,0.086256,0.205662,0.73669,0.463566,0.691278,0.290253,0.025688,0.000867,0.028486,0.298942,1
1081,0.071397,0.186841,0.755711,0.361285,0.910685,0.200399,0.016498,0.000354,0.017835,0.287561,1
929,0.020638,0.058539,0.922179,0.413235,0.952953,0.244103,0.095204,0.009301,0.095532,0.442721,1
2260,0.051248,0.136752,0.820455,0.243229,0.965536,0.11477,0.014832,0.000205,0.013341,0.269131,2
1795,0.020602,0.057541,0.923742,0.550779,0.880982,0.378236,0.033177,0.0018,0.04147,0.322843,1
1668,0.023116,0.065458,0.913008,0.266629,0.988159,0.130157,0.319371,0.07665,0.276126,0.674454,3
2136,0.110303,0.236826,0.704511,0.323777,0.825074,0.171188,0.056538,0.003174,0.05539,0.413848,3
76,0.00795,0.023449,0.968591,0.471014,0.966111,0.297218,0.110476,0.014918,0.121252,0.457622,1
112,0.032081,0.090343,0.880072,0.308443,0.969824,0.159588,0.013686,0.000182,0.012544,0.252896,6
1042,0.15393,0.369967,0.525646,0.199665,0.785578,0.088284,0.008968,6.1e-05,0.006852,0.139055,3
979,0.053547,0.13011,0.832124,0.397992,0.898272,0.230978,0.075952,0.008253,0.089931,0.407251,3
830,0.081038,0.217735,0.713668,0.270634,0.950437,0.133026,0.032132,0.000864,0.028425,0.36396,6
1665,0.038925,0.098728,0.871616,0.570762,0.864535,0.399998,0.012952,0.00038,0.018522,0.187445,5
138,0.04374,0.122086,0.838222,0.190126,0.985207,0.082625,0.022937,0.000313,0.016737,0.340587,3
1,0.039079,0.10856,0.856281,0.383494,0.91025,0.218598,0.133938,0.016506,0.127596,0.494772,1
1226,0.034907,0.097099,0.871407,0.446439,0.882258,0.274117,0.183918,0.048995,0.220561,0.545369,1
420,0.036271,0.097905,0.871041,0.337619,0.940203,0.181585,0.193875,0.042402,0.205115,0.5886,4
1777,0.05938,0.153077,0.800451,0.416762,0.871208,0.247304,0.01869,0.000473,0.020788,0.266291,1
1390,0.117954,0.257887,0.676634,0.377588,0.693546,0.213865,0.064867,0.005039,0.070047,0.45083,3
346,0.072361,0.196865,0.740497,0.466744,0.660012,0.293433,0.02283,0.000443,0.020086,0.270232,3
2141,0.019061,0.054367,0.927647,0.366002,0.992834,0.20411,0.008318,9.5e-05,0.0088,0.176606,4
2181,0.105067,0.23578,0.7025,0.505021,0.550098,0.330899,0.057251,0.005866,0.075662,0.412949,3
1192,0.123899,0.251134,0.691214,0.239178,0.912519,0.112276,0.064707,0.00327,0.056237,0.420659,2
1678,0.013506,0.038905,0.948124,0.396575,0.966987,0.22961,0.116799,0.015031,0.121714,0.440204,1
2255,0.133715,0.317763,0.593444,0.18763,0.893662,0.081583,0.023948,0.000337,0.017379,0.353754,6
1366,0.117157,0.26542,0.664444,0.246169,0.867742,0.116852,0.023563,0.000381,0.018549,0.32067,1
2207,0.078336,0.1627,0.798239,0.25805,0.943548,0.12443,0.041711,0.001517,0.037986,0.35954,1
2192,0.035753,0.093334,0.878038,0.376086,0.946664,0.212418,0.053771,0.002331,0.047321,0.450513,1
1181,0.039816,0.106011,0.860804,0.326665,0.943704,0.173216,0.020489,0.000358,0.017947,0.362449,1
2034,0.12522,0.23344,0.718058,0.328859,0.837724,0.17488,0.059844,0.004061,0.062781,0.447915,5
1702,0.048965,0.121458,0.842891,0.462329,0.899286,0.289068,0.050882,0.004122,0.063259,0.326759,1
1996,0.064925,0.178627,0.763992,0.332398,0.890077,0.177843,0.00314,1.6e-05,0.003145,0.063086,2
1087,0.078501,0.196721,0.745236,0.24007,0.936216,0.112811,0.032132,0.000755,0.02651,0.441742,3
2258,0.058325,0.163512,0.783137,0.336334,0.920648,0.180704,0.004716,3e-05,0.004549,0.091429,3
445,0.125881,0.297704,0.6195,0.157596,0.929335,0.064968,0.0112,7.1e-05,0.007492,0.153093,3
1773,0.020514,0.058488,0.922168,0.486759,0.924439,0.312512,0.087148,0.008508,0.091326,0.381677,3
1645,0.015315,0.043459,0.942214,0.365175,0.969471,0.203439,0.548584,0.329812,0.573862,0.646935,3
1201,0.015541,0.04468,0.940445,0.6738,0.892852,0.520585,0.028469,0.001821,0.041713,0.191939,5
540,0.094626,0.255975,0.66297,0.243983,0.918165,0.11533,0.027988,0.000455,0.020361,0.335935,1
2118,0.047967,0.121768,0.841815,0.566924,0.729602,0.395812,0.092526,0.015662,0.124264,0.412366,3
815,0.066644,0.165199,0.78657,0.269653,0.925202,0.13231,0.063984,0.003248,0.056044,0.430746,3
1589,0.059176,0.16005,0.789269,0.232761,0.973408,0.108188,0.011706,0.000113,0.009693,0.196095,3
411,0.047285,0.133186,0.823192,0.520909,0.724177,0.347075,0.012518,0.000274,0.015599,0.19986,3
2169,0.375813,0.57124,0.36153,0.111857,0.77448,0.042524,0.028481,0.000339,0.017435,0.358448,6
1491,0.20401,0.383595,0.539399,0.207551,0.823844,0.092906,0.011089,9.1e-05,0.008607,0.174583,3
137,0.019134,0.054245,0.927895,0.616812,0.937099,0.451984,0.200207,0.071502,0.266657,0.561225,5
746,0.087512,0.229632,0.699501,0.263225,0.885628,0.128043,0.064614,0.003222,0.055818,0.472206,1
534,0.029133,0.076218,0.900332,0.349262,0.958711,0.190695,0.244312,0.070012,0.263854,0.61707,1
1685,0.309619,0.438349,0.520531,0.363702,0.725513,0.202348,0.022477,0.000631,0.024148,0.272974,1
2113,0.197498,0.401211,0.507303,0.263027,0.679964,0.127966,0.033315,0.000896,0.028973,0.396127,1
754,0.187886,0.37523,0.541749,0.301766,0.786739,0.154871,0.018366,0.000387,0.018711,0.24609,4
1418,0.069225,0.183478,0.759473,0.216984,0.94756,0.098433,0.003124,8e-06,0.001995,0.040788,1
430,0.033132,0.092694,0.877107,0.43575,0.898864,0.264266,0.084695,0.009067,0.09431,0.446696,1
963,0.027728,0.078415,0.895817,0.361042,0.960758,0.20011,0.3357,0.122192,0.348902,0.654236,1
438,0.212187,0.463756,0.419393,0.184126,0.688161,0.079439,0.010325,7.2e-05,0.007511,0.152785,4
1875,0.068216,0.167037,0.784746,0.288149,0.90767,0.145146,0.128186,0.012111,0.109151,0.556302,2
2112,0.027608,0.078488,0.895614,0.565524,0.873164,0.394218,0.075588,0.006873,0.081979,0.367102,5
788,0.136309,0.266784,0.675451,0.223881,0.887748,0.10263,0.020867,0.00035,0.017742,0.358686,1
802,0.025933,0.073913,0.901649,0.575952,0.896941,0.405692,0.065114,0.008056,0.088836,0.337534,5
1311,0.209948,0.367723,0.568338,0.308076,0.85093,0.159457,0.028599,0.000807,0.027435,0.293551,1
1322,0.044945,0.121189,0.840548,0.382858,0.976775,0.218033,0.027282,0.000557,0.022631,0.361935,5
232,0.035902,0.098871,0.86933,0.345861,0.952104,0.188023,0.039458,0.001327,0.035468,0.391006,1
1124,0.062564,0.169282,0.776996,0.201396,0.960679,0.089177,0.009169,5.6e-05,0.006534,0.133046,3
1180,0.019638,0.055802,0.925792,0.368655,0.965055,0.206275,0.270505,0.081682,0.285078,0.62415,1
1062,0.044734,0.122167,0.83883,0.486581,0.839543,0.31245,0.055595,0.005256,0.071564,0.382731,2
809,0.058078,0.140376,0.819496,0.426476,0.916236,0.255929,0.032132,0.001526,0.038101,0.287157,4
1639,0.045222,0.12358,0.836935,0.313738,0.938615,0.163603,0.013686,0.000186,0.01269,0.255739,3
19,0.022755,0.064885,0.913654,0.368667,0.974382,0.206274,0.168673,0.021443,0.145572,0.562618,1
405,0.03171,0.08515,0.888056,0.458544,0.920665,0.285398,0.036387,0.001887,0.042484,0.34356,5
922,0.107839,0.225475,0.720841,0.324388,0.855951,0.171595,0.068644,0.00522,0.071316,0.419132,1
146,0.026153,0.072897,0.90342,0.518858,0.896371,0.344748,0.147251,0.034418,0.184698,0.466664,3
564,0.076005,0.16455,0.794081,0.336598,0.924277,0.180815,0.149243,0.022376,0.148728,0.576389,1
478,0.07192,0.1717,0.780042,0.191689,0.963766,0.083531,0.02094,0.000267,0.015362,0.312527,1
1741,0.072245,0.193,0.746562,0.442227,0.750716,0.270363,0.01401,0.000344,0.017583,0.184329,5
2023,0.076883,0.177783,0.773849,0.347768,0.879866,0.189621,0.118148,0.012977,0.113024,0.533125,1
837,0.041549,0.116823,0.844969,0.539141,0.921754,0.365906,0.011036,0.000201,0.013197,0.26425,5
390,0.053877,0.14287,0.812666,0.246928,0.953978,0.117176,0.032087,0.000776,0.026897,0.366205,1
2022,0.025185,0.071851,0.904374,0.302264,0.972046,0.155076,0.041745,0.001251,0.034407,0.463814,2
1133,0.01722,0.049412,0.934164,0.565225,0.919817,0.393825,0.064594,0.005051,0.070134,0.449355,3
55,0.863846,1.0,0.0,0.078604,0.229143,0.027983,0.011933,4.7e-05,0.005952,0.124336,3
244,0.065906,0.178815,0.764418,0.206945,0.962333,0.092396,0.171962,0.017051,0.129702,0.659579,2
1744,0.126155,0.262614,0.674724,0.266087,0.861551,0.129906,0.322716,0.078132,0.278792,0.743152,3
2182,0.035983,0.100875,0.866212,0.35523,0.932682,0.195506,0.033007,0.001115,0.032432,0.404026,1
1089,0.0163,0.04691,0.937462,0.761893,0.894262,0.635392,0.152635,0.043256,0.207179,0.452536,4
2220,0.054696,0.145746,0.808688,0.271857,0.9554,0.133709,0.022676,0.000506,0.021526,0.32585,1
848,0.020869,0.059692,0.920516,0.716969,0.731805,0.57551,0.189942,0.06064,0.24549,0.503425,2
