age,region,itch,grew,hurt,changed,bleed,elevation,biopsed,diagnostic
55,7,1,0,0,0,0,1,1,3
35,11,0,2,0,2,0,1,1,1
47,7,2,2,0,2,0,1,1,3
58,11,1,0,0,0,0,0,0,3
68,10,1,0,0,0,0,0,0,3
87,1,0,1,0,0,0,1,0,4
63,8,1,1,0,0,0,0,0,3
63,7,1,1,1,0,1,1,1,1
41,11,1,0,0,0,0,0,0,3
22,1,0,1,0,0,0,1,0,5
56,3,1,2,0,2,0,1,1,1
53,6,0,0,0,0,0,1,1,1
60,10,0,1,0,0,0,0,0,3
69,1,0,0,0,0,0,1,0,4
59,7,0,1,0,0,0,0,1,4
69,12,1,0,0,0,0,1,1,3
57,1,1,1,0,1,1,1,1,1
71,1,1,1,1,1,0,1,1,1
65,11,1,0,0,0,1,0,0,3
41,11,0,0,0,0,0,0,0,3
57,1,1,1,0,0,0,0,0,3
58,8,0,0,0,0,0,0,1,3
83,7,1,1,1,0,1,1,1,1
92,11,1,2,0,2,1,1,1,2
47,11,1,0,0,0,0,0,0,3
61,7,1,2,0,2,0,1,1,1
49,13,0,1,0,1,0,1,1,6
80,3,1,0,0,0,0,0,0,3
77,4,0,1,0,0,0,1,1,2
33,1,0,1,0,0,0,1,0,5
63,11,1,0,0,0,0,0,0,3
68,1,1,0,0,0,0,0,0,3
67,3,0,2,0,2,0,0,1,1
46,3,0,1,0,0,0,1,1,1
52,10,0,0,0,0,0,1,1,3
75,1,1,1,0,0,1,1,1,1
80,11,1,0,1,0,1,1,1,1
56,1,1,0,0,0,0,0,0,3
66,10,1,0,0,0,1,1,1,1
64,3,1,0,0,0,0,0,0,3
60,10,0,0,0,0,0,0,0,3
75,10,1,0,0,0,1,0,0,3
45,1,1,0,0,0,0,0,0,3
66,14,1,2,0,2,0,1,1,2
60,1,1,0,0,0,0,0,1,3
52,1,1,1,1,0,0,1,1,1
36,7,0,1,0,0,0,1,0,5
83,7,1,1,1,0,1,1,1,1
50,3,1,0,0,0,0,0,0,3
63,11,1,0,0,0,0,1,0,3
70,7,0,1,0,0,0,1,1,2
78,1,0,1,0,0,0,1,0,4
46,1,1,1,0,1,0,0,1,6
59,11,1,0,0,0,0,0,0,3
83,11,1,0,0,0,0,1,1,3
85,6,1,1,0,0,0,1,1,2
41,3,1,1,0,0,1,0,1,1
61,8,1,2,0,2,1,1,1,1
53,7,0,0,0,0,0,1,0,4
67,4,1,1,0,1,0,1,1,2
63,8,0,2,0,2,0,1,1,1
60,8,0,0,1,0,0,0,1,1
61,12,1,0,0,0,0,0,0,3
51,8,0,0,0,0,0,1,1,1
55,8,0,1,0,0,0,1,1,1
66,2,1,2,0,2,0,0,1,5
62,7,1,1,0,0,1,1,1,2
40,10,1,0,0,0,1,0,0,3
54,1,0,0,0,0,0,1,0,4
83,11,1,2,1,2,1,1,1,1
58,8,0,2,0,2,0,0,1,2
73,10,0,1,0,0,0,1,0,4
75,12,1,0,0,0,0,0,0,3
45,1,1,1,0,0,0,0,0,3
58,12,1,0,0,0,0,1,1,1
75,10,1,0,0,0,0,0,0,3
58,3,1,1,1,1,1,1,1,1
44,8,0,0,1,0,0,1,0,5
54,1,1,0,0,0,0,0,0,3
10,8,0,1,0,1,0,0,0,5
62,3,1,1,0,1,1,1,1,1
55,3,1,2,1,2,1,0,1,1
69,10,1,1,0,1,0,1,1,2
86,3,1,1,0,0,0,1,0,3
70,1,1,1,0,0,0,1,1,2
36,7,1,1,1,0,1,1,1,1
80,7,0,0,0,0,0,0,0,3
85,3,1,1,1,0,1,1,1,1
60,7,1,0,0,0,0,1,1,1
61,8,1,2,0,2,0,1,1,1
57,1,0,1,0,0,1,1,1,1
64,1,1,1,1,0,0,1,1,1
73,1,0,0,0,0,0,1,0,4
71,7,1,0,1,0,0,1,1,1
54,7,1,0,0,0,1,0,0,3
58,11,0,0,0,0,0,0,0,3
79,1,1,0,0,0,0,0,0,3
65,1,1,2,1,2,1,1,1,1
66,1,0,0,0,0,0,0,0,3
53,1,1,1,0,0,1,1,1,1
50,11,1,0,0,0,0,0,0,3
63,12,1,0,0,0,0,1,0,3
53,11,1,0,0,0,0,0,0,3
60,11,1,0,0,0,0,1,0,3
46,1,1,1,0,1,0,0,1,6
76,1,0,1,0,0,0,1,1,1
75,1,0,0,0,0,0,1,0,4
54,7,1,1,0,0,0,1,0,5
71,11,0,0,0,0,0,0,1,2
55,7,1,1,0,0,0,1,1,1
56,11,0,0,0,1,0,1,1,1
69,7,1,2,1,2,1,1,1,1
61,7,1,0,0,0,0,0,0,3
71,1,0,0,0,0,0,0,1,2
72,1,0,2,0,2,0,1,1,1
67,1,0,0,0,0,0,0,0,3
57,8,0,0,0,0,0,1,0,5
79,1,1,1,0,0,0,1,1,1
58,13,1,2,0,2,1,1,1,2
14,14,0,1,0,1,0,0,1,5
87,11,1,0,0,0,1,1,0,3
62,11,0,0,0,0,0,0,1,3
49,3,1,1,1,0,1,1,1,1
80,1,0,1,0,0,0,1,1,1
55,11,1,1,0,0,1,1,1,3
69,10,1,0,0,0,0,0,0,3
21,13,0,2,0,2,0,0,1,5
53,10,1,1,0,0,0,1,1,2
44,1,1,1,0,0,1,1,1,1
60,11,1,0,0,0,0,0,0,3
62,13,0,0,0,0,0,1,1,3
71,10,1,1,1,0,1,1,1,1
47,8,1,1,0,0,0,0,1,1
39,7,0,1,0,0,0,1,0,5
94,4,1,1,0,0,0,1,1,2
58,8,1,1,1,1,1,0,1,2
47,7,1,0,1,0,1,0,1,1
72,1,1,0,0,0,0,1,0,3
58,1,1,1,0,1,0,0,0,3
59,11,0,0,0,0,0,0,0,3
43,1,0,1,0,0,0,1,0,5
58,1,1,1,1,1,1,1,1,1
73,3,0,2,0,2,0,0,1,1
60,11,1,0,0,0,1,0,0,3
80,1,1,1,0,0,1,1,1,1
80,11,0,0,0,0,0,0,0,4
43,7,1,1,0,0,1,1,1,1
46,9,1,0,0,0,0,1,0,4
56,3,1,1,0,0,0,1,1,1
76,1,0,0,0,0,0,1,0,4
70,10,1,1,1,0,1,0,1,2
76,1,1,1,0,0,0,1,1,1
66,1,1,1,0,0,0,1,1,1
52,1,1,2,0,2,1,1,1,1
90,8,0,1,0,0,0,1,0,4
69,1,1,1,1,0,1,1,1,1
74,8,0,0,0,0,0,1,1,5
71,7,0,0,0,0,0,0,1,3
55,1,0,1,0,0,0,1,0,4
55,10,1,0,0,0,0,1,0,3
89,1,1,1,0,0,0,0,1,1
39,6,1,1,0,0,1,0,1,1
62,1,1,1,0,0,0,1,1,1
69,1,1,2,0,2,1,1,1,2
79,3,1,1,1,0,0,1,1,1
26,7,1,0,1,0,1,1,1,1
41,11,0,0,0,0,0,0,0,3
46,3,1,0,1,1,1,0,1,3
53,1,0,0,0,0,0,1,1,1
40,7,0,1,0,0,0,0,1,1
47,11,1,0,0,0,0,0,0,3
79,13,1,0,0,0,0,0,0,3
59,8,1,1,1,0,1,1,1,1
62,1,0,1,0,0,0,1,0,4
57,11,1,2,0,2,1,1,1,1
58,12,1,0,0,0,0,1,0,3
83,11,1,0,0,0,0,1,1,3
51,3,0,2,0,2,0,1,1,1
58,3,0,1,0,0,1,1,1,1
52,1,1,1,1,0,0,1,1,1
56,10,1,2,0,2,1,0,1,1
13,1,0,2,0,2,0,0,1,5
85,13,1,2,1,2,1,1,1,1
35,1,0,1,0,0,0,1,0,5
59,11,1,1,0,0,0,0,1,2
60,1,1,0,0,0,0,0,0,3
30,8,0,2,0,2,0,1,1,5
85,4,0,1,0,1,1,1,1,1
67,10,1,2,0,2,1,1,1,1
73,7,0,1,0,0,0,1,0,4
57,7,0,1,0,1,1,1,1,1
62,10,1,1,1,0,1,1,1,1
38,8,0,1,0,0,0,1,0,5
52,1,0,1,0,0,0,1,0,4
22,7,0,1,0,0,0,1,0,5
43,8,1,0,0,0,0,0,0,3
53,1,0,1,0,0,0,1,0,4
38,1,0,0,0,0,0,0,0,3
58,11,1,0,0,0,0,1,0,3
75,11,1,0,0,0,0,0,0,3
52,7,1,1,1,0,1,1,1,1
64,1,1,0,0,0,0,0,0,3
58,8,0,2,0,1,0,0,1,6
56,11,1,2,0,2,0,1,1,1
71,1,0,0,0,0,0,0,0,4
68,7,0,1,1,0,1,1,1,1
56,7,0,1,0,1,0,0,1,6
50,8,1,2,0,2,0,1,1,1
59,8,1,1,1,0,1,1,1,1
67,1,1,0,0,0,0,1,0,3
52,7,1,1,1,0,1,1,1,1
63,1,0,0,0,0,0,0,1,1
67,11,1,0,0,0,0,0,0,3
57,11,1,2,1,2,1,1,1,1
56,11,0,0,0,1,0,1,0,3
66,8,1,0,1,0,1,1,1,1
53,13,1,2,0,2,0,1,1,1
57,7,0,2,0,2,0,1,1,1
40,1,1,1,0,1,0,0,0,3
74,10,1,2,0,2,0,0,1,1
53,7,1,2,0,2,0,1,1,1
54,8,1,1,0,1,0,1,1,6
79,7,1,0,0,0,0,1,0,3
22,7,1,0,0,0,1,1,1,1
55,1,0,0,0,0,0,0,0,3
72,1,1,0,0,0,0,1,1,3
81,13,1,1,0,1,0,0,1,2
67,11,1,0,0,0,0,0,0,3
56,10,0,0,0,0,1,1,0,4
49,1,0,2,0,2,0,0,1,5
62,10,0,0,0,0,0,0,0,3
70,10,0,1,1,1,0,1,1,3
65,1,0,1,0,0,0,1,0,4
90,1,1,1,0,0,0,0,0,3
63,7,0,2,0,2,0,0,1,2
57,8,1,2,1,2,0,1,1,1
70,8,0,1,0,1,0,1,1,6
59,9,1,1,0,0,1,1,1,3
75,6,0,1,1,0,0,0,1,1
59,8,1,0,0,0,0,0,1,1
72,8,1,1,0,0,0,1,1,1
69,7,1,0,0,0,0,0,0,3
67,4,1,1,1,0,1,1,1,2
50,11,1,0,0,0,0,1,0,3
83,6,1,1,0,1,0,1,1,2
56,1,1,0,0,0,0,0,0,3
68,11,1,0,0,0,0,0,0,3
48,11,0,1,0,1,0,1,0,4
63,1,1,2,0,2,1,1,1,1
90,11,1,1,1,0,1,1,1,2
90,6,1,1,0,0,0,1,0,4
60,1,1,1,0,0,0,1,1,1
17,8,0,1,0,0,0,1,0,5
74,1,0,1,0,1,0,1,1,1
90,11,2,2,1,2,0,1,1,2
72,12,1,1,0,1,0,1,1,3
50,4,1,2,1,2,1,1,1,1
58,10,1,0,0,0,0,1,1,3
39,8,0,1,0,0,0,0,0,4
58,3,1,0,1,0,1,0,1,1
68,6,1,0,0,0,0,0,0,3
66,1,0,1,0,0,0,1,1,1
84,1,1,2,0,2,0,1,1,4
47,1,1,0,0,0,0,0,0,3
46,11,1,1,0,0,0,1,0,3
63,7,1,0,1,0,1,1,1,1
92,3,1,1,0,0,0,1,1,2
53,6,1,2,0,2,0,1,1,1
58,1,0,0,0,0,1,1,1,1
57,11,0,0,0,0,0,0,0,3
88,4,1,1,1,0,1,1,1,1
67,8,0,0,0,0,0,1,0,4
55,10,1,0,0,0,0,0,0,3
86,10,1,0,0,0,0,0,1,1
79,10,1,2,0,2,1,0,1,2
53,10,1,1,1,0,1,1,1,1
36,8,1,0,0,0,0,0,1,5
62,1,1,2,1,2,1,1,1,1
65,10,0,2,0,2,0,0,1,6
37,9,1,2,0,2,0,1,1,1
68,3,1,1,1,1,1,0,1,1
73,11,1,0,1,0,1,1,1,1
55,8,1,0,0,0,0,0,0,3
67,8,1,0,1,0,1,1,1,1
66,8,0,2,0,2,0,0,1,5
68,1,1,1,0,0,0,1,1,3
35,11,1,0,0,0,0,0,0,3
53,11,0,0,0,0,0,0,0,4
65,7,1,0,0,0,0,1,0,4
32,10,0,0,0,0,0,1,0,4
47,1,0,1,1,0,0,0,0,3
69,4,1,0,0,0,0,0,0,3
55,12,1,0,0,0,0,0,0,3
62,1,1,1,1,1,1,0,1,1
61,12,1,2,2,2,0,1,1,1
57,6,1,1,0,1,0,1,1,1
79,7,1,1,0,0,0,1,1,1
56,7,0,1,0,0,0,1,0,5
54,11,1,0,0,0,0,1,0,3
61,3,1,2,0,2,0,1,1,1
46,10,1,0,0,0,0,1,0,3
51,8,1,0,0,0,0,1,1,1
60,11,0,0,0,0,0,0,0,3
64,1,1,1,1,0,1,1,1,1
65,11,1,0,0,0,0,0,0,3
39,11,0,0,0,0,0,1,0,3
54,11,0,0,0,0,0,1,1,1
66,3,0,1,0,1,1,1,1,1
81,8,1,2,1,2,1,1,1,2
16,8,1,1,0,0,0,1,0,5
32,3,1,1,1,0,1,1,1,1
10,11,0,1,0,1,0,0,0,5
69,1,1,2,0,2,0,1,1,1
44,8,0,0,0,1,0,0,0,5
80,6,1,0,0,0,0,0,0,3
75,5,0,0,0,1,0,1,1,2
53,11,1,0,0,0,1,0,0,3
71,1,1,2,0,2,1,0,1,1
39,7,1,1,1,0,1,1,1,2
77,6,1,1,0,1,1,1,1,3
66,11,0,0,0,0,0,1,1,3
88,4,1,1,1,0,1,1,1,1
79,1,1,1,1,0,1,1,1,2
56,1,1,0,0,0,0,0,1,1
63,11,1,0,0,0,0,1,0,3
65,6,0,1,0,0,0,1,1,1
21,8,0,0,0,0,0,0,0,5
86,6,1,0,0,0,0,1,0,4
55,8,0,1,0,0,0,1,0,5
35,1,0,2,0,2,0,1,1,5
72,4,1,1,0,1,1,0,1,1
83,6,0,2,0,2,0,1,1,1
44,12,0,0,0,0,0,0,0,3
60,12,0,0,0,0,0,0,0,3
56,7,1,1,0,0,0,1,1,1
57,10,1,2,1,2,1,1,1,1
82,1,0,0,0,0,0,1,0,4
77,5,1,0,1,0,0,1,1,2
45,12,1,0,0,0,0,0,0,3
71,11,1,1,1,0,1,0,1,1
65,11,1,0,0,0,0,0,0,3
85,13,0,1,0,1,0,1,1,1
68,11,1,1,0,0,1,1,1,1
43,1,1,1,0,0,0,1,1,2
62,9,0,1,0,0,0,1,0,4
39,11,0,1,0,0,0,1,0,5
69,11,1,2,1,2,1,0,1,3
29,6,0,0,0,0,0,1,0,5
62,1,1,0,0,0,0,1,1,1
17,8,0,1,0,0,0,1,0,5
67,3,0,2,0,2,0,0,1,1
66,10,1,1,0,0,0,0,0,3
58,10,0,1,0,1,0,1,1,6
40,12,0,0,0,0,0,0,0,3
81,10,0,1,0,0,0,1,0,4
55,1,1,0,0,0,0,0,0,3
55,10,1,0,0,0,0,1,1,2
77,11,1,0,0,0,0,1,0,3
77,1,0,0,0,0,0,1,1,1
68,11,1,1,1,1,1,1,1,2
60,1,0,0,0,0,0,0,0,4
68,7,1,0,0,0,0,1,0,3
36,7,0,1,0,0,0,1,0,5
72,7,1,1,0,0,1,1,1,1
65,8,0,0,0,0,0,1,0,4
62,1,1,1,0,0,0,1,1,1
63,4,0,0,0,0,0,0,1,1
62,11,0,0,0,0,0,1,1,3
31,1,1,1,0,0,0,1,0,5
57,12,0,1,0,0,1,1,1,1
64,11,1,1,0,0,1,1,1,1
56,1,1,1,0,0,0,1,1,1
71,10,1,1,1,0,1,1,1,1
21,8,0,1,0,0,0,1,0,5
82,4,0,1,0,1,0,0,1,6
55,8,0,0,0,0,0,1,0,5
77,1,1,0,0,0,0,0,0,3
57,11,1,1,0,0,0,0,0,3
57,13,0,1,0,0,0,0,0,4
69,1,0,1,0,1,0,1,1,1
59,1,0,0,0,0,0,1,0,3
72,11,0,0,0,0,0,0,0,3
67,11,1,2,0,2,0,1,1,1
55,11,1,1,0,0,0,0,0,3
59,9,0,1,0,0,0,1,0,5
45,10,1,0,0,0,0,0,0,3
88,1,1,0,0,0,1,1,1,2
56,11,1,2,1,2,1,1,1,1
64,1,1,1,1,0,0,1,1,1
75,1,0,2,0,2,0,1,1,1
46,8,1,1,0,0,0,1,1,1
59,6,1,1,1,0,1,1,1,1
64,6,1,0,0,0,0,0,0,3
71,11,0,0,0,0,0,0,0,3
86,3,1,2,0,2,0,1,1,1
73,1,1,2,0,2,0,1,1,1
59,8,1,2,1,2,1,0,1,1
69,1,1,1,1,0,1,1,1,1
24,7,0,0,0,0,0,1,0,5
69,1,1,1,0,1,0,0,0,3
54,7,1,0,0,0,1,1,0,3
72,11,1,2,1,2,1,1,1,1
57,1,0,1,0,0,0,1,0,3
70,1,1,1,0,0,1,0,0,3
89,1,1,2,0,2,0,1,1,1
40,10,1,0,0,0,1,0,0,3
62,6,1,1,0,0,0,0,0,3
55,3,0,2,0,2,0,1,1,1
63,11,1,0,0,0,0,0,0,3
45,4,1,1,0,0,0,1,1,2
81,2,0,0,0,0,0,0,0,3
75,7,1,2,0,2,0,1,1,2
53,9,0,1,0,0,0,1,0,4
61,1,0,1,0,0,0,0,0,4
82,11,0,0,0,0,0,1,0,3
59,11,1,0,0,0,0,0,0,3
53,1,1,1,1,0,1,1,1,1
75,11,0,1,0,1,0,1,1,2
85,3,1,1,1,0,1,1,1,1
78,11,1,2,1,2,1,1,1,1
43,6,0,1,0,0,0,0,1,6
51,8,0,1,0,1,0,0,1,5
55,12,1,0,0,0,0,0,0,3
65,1,0,0,0,0,0,1,0,4
42,1,1,1,0,0,0,1,0,5
71,4,1,1,1,0,1,0,1,3
64,11,1,0,0,0,1,1,0,3
59,1,1,1,0,0,0,0,1,2
56,3,0,0,1,0,0,0,1,3
47,1,0,0,0,0,0,0,0,3
57,7,0,1,0,0,0,1,0,4
55,7,1,1,0,1,0,0,1,1
22,1,1,2,1,2,1,1,1,1
50,7,0,0,0,0,0,0,0,3
45,11,0,0,0,0,0,0,0,3
20,8,0,0,0,0,0,1,0,5
35,1,0,0,0,0,0,1,1,1
74,13,0,0,0,0,0,1,0,4
72,10,1,1,0,0,0,1,0,4
71,1,1,0,1,0,1,1,1,1
31,9,0,1,0,0,0,0,0,5
63,6,0,1,0,1,0,0,1,4
55,1,1,0,0,0,0,0,0,3
68,1,1,1,0,0,0,1,1,3
59,8,1,1,1,0,1,1,1,1
54,1,0,1,0,0,0,0,0,5
67,4,1,0,0,0,0,1,0,4
46,8,1,1,0,0,0,1,1,1
63,1,1,2,0,2,0,1,1,1
77,1,1,0,1,0,0,0,0,3
61,1,0,1,0,1,0,1,1,3
83,3,1,0,0,0,0,1,0,4
51,7,1,0,1,0,1,1,1,1
57,13,0,1,0,0,0,1,0,4
65,1,1,1,0,0,0,1,1,3
23,1,0,1,0,0,0,1,0,5
32,11,1,1,0,0,0,0,0,5
90,1,1,0,0,0,0,1,1,1
64,8,1,1,0,0,1,1,1,1
61,12,1,2,1,2,0,1,1,2
55,1,0,2,0,2,0,1,1,1
60,10,1,2,0,2,0,1,1,2
62,7,1,1,0,0,1,1,1,2
52,1,1,0,0,0,0,0,0,3
67,11,1,0,0,0,0,0,0,3
62,11,1,0,0,0,0,1,0,3
75,7,1,2,1,2,1,1,1,1
58,1,0,2,0,2,0,1,1,1
57,1,0,1,0,1,1,1,1,1
49,13,0,1,0,1,0,1,1,6
84,7,1,1,0,0,1,1,1,1
41,11,1,0,0,0,0,0,0,3
71,4,1,2,0,2,0,1,1,1
65,3,0,1,0,1,1,1,1,1
73,1,1,2,1,2,1,1,1,1
76,7,0,1,0,0,0,1,0,4
72,1,1,1,0,0,0,1,1,1
53,10,1,0,0,0,0,0,1,3
66,11,1,2,0,2,0,1,1,2
73,10,0,1,0,0,0,1,1,2
69,4,1,2,1,2,1,1,1,1
51,8,0,0,0,0,0,0,1,1
71,8,1,1,0,1,0,1,1,6
61,10,0,0,0,0,0,0,1,3
66,10,1,0,1,0,0,1,1,3
60,12,1,1,0,0,0,0,0,3
94,3,1,2,1,2,1,1,1,1
60,14,1,2,1,0,0,1,1,3
45,10,1,1,0,0,0,0,0,3
65,6,1,2,0,2,0,1,1,2
45,12,1,0,0,0,0,0,0,3
70,8,1,2,0,2,0,1,1,1
57,12,0,1,1,1,0,1,1,2
84,10,1,0,0,0,0,1,0,4
88,8,0,1,0,0,0,1,0,4
92,10,1,2,0,2,1,0,1,2
83,1,0,1,0,0,0,1,0,4
74,4,0,2,0,2,0,1,1,1
57,10,1,1,1,0,0,1,1,2
53,11,1,0,0,0,0,1,0,4
45,12,1,0,0,0,0,1,0,3
26,7,0,1,0,0,0,1,0,5
52,8,1,0,1,0,1,1,1,1
72,7,1,1,0,0,1,1,1,1
55,8,1,1,0,0,1,1,1,1
75,8,0,0,0,0,0,1,0,4
34,10,0,0,0,0,0,1,0,5
17,8,0,1,0,0,0,1,0,5
67,1,0,2,0,2,0,1,1,1
64,13,0,0,0,0,1,1,1,2
66,1,1,0,0,0,0,0,1,3
82,11,1,0,0,0,0,0,0,3
76,10,0,2,0,2,0,1,1,2
66,1,0,0,0,0,0,0,0,3
58,1,1,0,0,0,0,1,1,1
43,8,1,0,0,0,0,1,1,1
32,8,0,2,0,2,0,0,1,5
73,10,1,1,1,0,1,0,1,1
58,3,0,1,0,0,1,1,1,1
75,8,1,0,0,0,0,0,1,3
21,8,0,1,0,0,0,0,1,6
56,7,1,1,0,0,0,1,1,1
84,11,1,2,1,2,1,1,1,2
69,11,1,1,0,0,0,0,0,3
78,8,1,1,0,0,0,1,1,1
64,7,1,1,0,0,0,1,1,1
75,11,1,2,0,2,0,1,1,2
71,1,0,1,0,0,0,1,1,1
38,8,0,0,0,0,0,0,0,4
73,11,1,0,0,0,0,0,1,3
81,11,1,0,0,0,0,0,0,3
68,11,1,0,0,0,0,0,0,3
71,7,1,1,1,0,1,1,1,1
30,6,0,2,0,2,0,2,1,6
63,7,0,0,0,0,0,1,0,4
70,1,1,2,1,2,1,1,1,1
26,8,0,1,0,0,0,1,0,5
63,6,0,1,0,1,1,1,1,1
65,1,1,0,0,0,0,0,0,3
65,12,1,0,0,0,0,0,0,3
82,1,1,0,1,0,1,1,1,2
54,1,1,0,0,0,0,0,0,3
75,1,1,1,0,0,1,1,1,1
66,1,1,2,0,2,0,1,1,1
39,11,0,0,0,0,0,0,1,3
52,7,1,0,0,0,0,0,0,3
77,3,1,1,0,0,1,1,1,1
54,11,1,0,0,0,0,0,0,3
81,1,0,0,0,0,0,1,0,4
62,11,1,0,0,0,0,1,0,3
80,1,1,2,0,2,1,1,1,1
73,1,1,0,0,0,0,0,0,3
48,10,1,0,0,0,0,0,0,3
69,11,1,2,0,2,1,0,1,2
40,10,1,0,0,0,1,0,0,3
29,6,0,0,0,0,0,1,0,5
57,11,1,2,1,2,1,1,1,1
53,8,1,1,0,0,0,1,1,1
69,8,0,0,0,0,0,1,1,2
47,1,1,0,0,0,0,0,1,3
45,9,0,1,0,0,0,1,0,4
60,7,0,1,0,0,0,1,0,5
75,1,0,0,0,0,0,0,0,4
50,12,1,0,0,0,0,1,0,3
78,11,1,0,0,0,0,0,0,3
41,11,1,0,0,0,0,0,0,3
52,1,0,0,0,0,0,0,0,3
82,11,1,0,0,0,0,0,1,3
61,3,1,2,0,2,1,1,1,1
80,12,0,0,0,0,0,1,0,3
66,10,0,0,0,0,0,1,0,3
57,1,0,1,0,0,0,0,0,4
79,10,1,2,0,2,1,0,1,2
84,10,1,0,0,0,0,1,0,4
77,4,1,0,1,0,1,0,1,1
71,4,1,2,1,2,1,1,1,1
63,10,1,2,0,2,1,1,1,2
67,11,1,0,0,0,0,0,0,3
69,11,1,0,0,0,0,1,0,3
62,1,0,1,0,0,0,1,0,4
69,11,0,1,0,1,0,1,0,3
71,11,0,1,1,0,0,1,1,3
77,6,0,0,0,0,0,0,0,3
46,1,0,1,0,0,0,1,1,1
63,1,0,1,0,0,0,1,0,4
70,8,1,1,1,0,0,1,1,2
50,11,1,0,0,0,0,1,0,3
71,4,0,0,0,0,0,1,1,1
60,1,1,2,0,2,0,1,1,1
60,11,1,0,0,0,0,0,0,3
57,6,1,0,0,0,1,1,1,3
50,14,0,1,0,0,0,1,0,5
55,3,1,1,1,0,1,1,1,1
60,11,0,0,0,0,0,0,0,3
71,7,0,1,0,0,0,1,1,3
67,1,1,0,0,0,0,0,0,3
54,11,1,1,0,0,1,1,1,1
85,2,1,2,0,2,0,1,1,2
73,1,0,0,0,0,0,1,0,4
75,4,1,0,1,0,1,1,1,1
57,7,1,1,1,0,0,1,1,1
58,11,1,1,0,1,0,1,1,1
52,11,1,0,0,0,0,0,0,3
52,11,1,0,0,0,0,1,1,3
23,8,1,1,0,1,0,0,0,5
55,6,0,2,0,2,0,1,1,1
70,8,1,2,0,2,0,1,1,1
65,8,0,0,0,0,0,0,0,4
51,7,1,0,1,0,1,1,1,1
56,7,0,1,0,0,0,1,0,5
69,1,1,2,0,2,1,1,1,1
56,8,0,1,0,0,1,1,0,5
75,8,1,1,0,1,1,1,0,4
32,13,1,1,0,1,0,0,1,5
62,12,1,0,0,0,0,0,0,3
77,1,1,0,0,0,0,0,0,3
69,11,1,1,1,0,1,1,1,1
43,1,1,1,0,0,1,1,1,1
50,7,1,0,1,0,0,1,1,1
28,9,0,1,0,0,0,1,0,5
66,3,0,1,0,1,1,1,1,1
48,7,0,0,0,0,0,1,0,5
80,1,1,0,0,0,1,1,1,1
45,7,0,2,0,2,0,1,1,1
54,1,1,0,0,0,0,1,1,1
80,11,1,0,0,0,1,1,0,3
31,13,0,1,0,0,0,0,0,5
67,11,0,1,0,0,0,1,1,1
40,7,1,1,1,0,1,1,1,1
67,11,1,0,0,0,0,0,0,3
61,11,1,0,0,0,0,0,0,3
79,1,1,0,1,0,0,1,1,1
47,4,1,0,1,0,1,1,1,1
80,11,1,0,1,0,0,0,0,3
46,1,0,2,0,2,0,1,1,1
62,3,1,2,1,2,1,1,1,1
